pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
2,168.828,-27.8767,382.219,145.738,33.2931,379.006,65.4617,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
2,171.31,-36.9471,385.902,145.738,33.2931,379.006,75.068,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
2,168.642,-42.2144,394.724,145.738,33.2931,379.006,80.4553,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
2,168.644,-43.2291,394.498,145.738,33.2931,379.006,81.3654,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
2,168.259,-50.0522,394.264,113.289,17.5436,395.946,87.142,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
2,169.044,-61.982,394.153,113.289,17.5436,395.946,97.1402,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
2,162.121,-73.1596,394.364,113.289,17.5436,395.946,103.025,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
2,158.695,-59.037,394.911,113.289,17.5436,395.946,89.0357,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
2,147.075,-51.5264,401.331,113.289,17.5436,395.946,77.0788,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
2,131.68,-52.4741,382.857,113.289,17.5436,395.946,73.5665,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
2,120.922,-48.6364,381.501,113.289,17.5436,395.946,68.1668,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
2,109.028,-45.132,362.876,93.0287,23.4015,361.689,70.3864,jt_x, jt_y, jt_z, jt_q, 0.0194294,0.0152145,0.516289,-1.07201,jd
2,106.589,-43.0816,344.846,112.505,26.0213,348.46,69.4498,jt_x, jt_y, jt_z, jt_q, 0.171299,0.0151441,0.165208,-0.865166,jd
2,105.116,-41.619,340.689,112.505,26.0213,348.46,68.485,jt_x, jt_y, jt_z, jt_q, 0.171299,0.0151441,0.165208,-0.865166,jd
2,107.57,-42,338.305,112.505,26.0213,348.46,68.9519,jt_x, jt_y, jt_z, jt_q, 0.171299,0.0151441,0.165208,-0.865166,jd
2,108.644,-40.4416,338.264,112.505,26.0213,348.46,67.3512,jt_x, jt_y, jt_z, jt_q, 0.171299,0.0151441,0.165208,-0.865166,jd
2,111.38,-23.7687,336.621,112.505,26.0213,348.46,51.1906,jt_x, jt_y, jt_z, jt_q, 0.171299,0.0151441,0.165208,-0.865166,jd
2,110.152,-9.27632,329.029,112.505,26.0213,348.46,40.3609,jt_x, jt_y, jt_z, jt_q, 0.171299,0.0151441,0.165208,-0.865166,jd
2,110.717,-1.79839,322.103,103.81,31.9707,316.76,34.8798,jt_x, jt_y, jt_z, jt_q, 0.877281,0.0317917,-0.398745,-0.792396,jd
2,108.716,-0.712916,319.404,103.81,31.9707,316.76,33.1553,jt_x, jt_y, jt_z, jt_q, 0.877281,0.0317917,-0.398745,-0.792396,jd
2,108.575,-1.04623,318.813,103.81,31.9707,316.76,33.422,jt_x, jt_y, jt_z, jt_q, 0.877281,0.0317917,-0.398745,-0.792396,jd
2,107.507,-0.858795,319.962,103.81,31.9707,316.76,33.1917,jt_x, jt_y, jt_z, jt_q, 0.877281,0.0317917,-0.398745,-0.792396,jd
2,106.029,-1.23744,318.031,103.81,31.9707,316.76,33.3064,jt_x, jt_y, jt_z, jt_q, 0.877281,0.0317917,-0.398745,-0.792396,jd
2,106.142,0.785526,317.81,103.81,31.9707,316.76,31.2898,jt_x, jt_y, jt_z, jt_q, 0.877281,0.0317917,-0.398745,-0.792396,jd
2,117.989,2.55007,293.404,103.81,31.9707,316.76,40.1511,jt_x, jt_y, jt_z, jt_q, 0.877281,0.0317917,-0.398745,-0.792396,jd
