pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
2,168.828,-27.8767,382.219,144.93,19.6299,364.211,56.1454,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,171.31,-36.9471,385.902,144.93,19.6299,364.211,66.0862,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,168.642,-42.2144,394.724,144.93,19.6299,364.211,72.9249,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,168.644,-43.2291,394.498,144.93,19.6299,364.211,73.6946,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,168.259,-50.0522,394.264,144.93,19.6299,364.211,79.3916,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,169.044,-61.982,394.153,144.93,19.6299,364.211,90.2137,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,162.121,-73.1596,394.364,144.93,19.6299,364.211,99.0689,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,158.695,-59.037,394.911,144.93,19.6299,364.211,85.5597,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,147.075,-51.5264,401.331,144.93,19.6299,364.211,80.2851,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,131.68,-52.4741,382.857,144.93,19.6299,364.211,75.6453,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,120.922,-48.6364,381.501,144.93,19.6299,364.211,74.4017,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,109.028,-45.132,362.876,144.93,19.6299,364.211,74.0595,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,106.589,-43.0816,344.846,144.93,19.6299,364.211,76.0117,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,105.116,-41.619,340.689,89.374,17.5436,299.547,73.7611,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
2,107.57,-42,338.305,89.374,17.5436,299.547,73.34,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
2,108.644,-40.4416,338.264,89.374,17.5436,299.547,72.3365,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
2,111.38,-23.7687,336.621,89.374,17.5436,299.547,59.7111,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
2,110.152,-9.27632,329.029,89.374,17.5436,299.547,44.9472,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
2,110.717,-1.79839,322.103,89.374,17.5436,299.547,36.5841,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
2,108.716,-0.712916,319.404,89.374,17.5436,299.547,33.1919,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
2,108.575,-1.04623,318.813,89.374,17.5436,299.547,32.9457,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
2,107.507,-0.858795,319.962,89.374,17.5436,299.547,32.9273,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
2,106.029,-1.23744,318.031,89.374,17.5436,299.547,31.1733,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
2,106.142,0.785526,317.81,89.374,17.5436,299.547,29.9252,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
2,117.989,2.55007,293.404,89.374,17.5436,299.547,32.8842,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
2,116.517,6.77477,284.173,89.374,17.5436,299.547,33.001,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
