pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
2,168.828,-27.8767,382.219,141.051,32.9248,380.936,66.8585,jt_x, jt_y, jt_z, jt_q, 0.213602,0.0162381,-0.521019,-0.486401,jd
2,171.31,-36.9471,385.902,141.051,32.9248,380.936,76.3046,jt_x, jt_y, jt_z, jt_q, 0.213602,0.0162381,-0.521019,-0.486401,jd
2,168.642,-42.2144,394.724,141.051,32.9248,380.936,81.2238,jt_x, jt_y, jt_z, jt_q, 0.213602,0.0162381,-0.521019,-0.486401,jd
2,168.644,-43.2291,394.498,141.051,32.9248,380.936,82.1262,jt_x, jt_y, jt_z, jt_q, 0.213602,0.0162381,-0.521019,-0.486401,jd
2,168.259,-50.0522,394.264,141.051,32.9248,380.936,88.3352,jt_x, jt_y, jt_z, jt_q, 0.213602,0.0162381,-0.521019,-0.486401,jd
2,169.044,-61.982,394.153,112.366,17.7586,411.068,99.2831,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
2,162.121,-73.1596,394.364,112.366,17.7586,411.068,104.979,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
2,158.695,-59.037,394.911,112.366,17.7586,411.068,91.1315,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
2,147.075,-51.5264,401.331,112.366,17.7586,411.068,78.1019,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
2,131.68,-52.4741,382.857,112.366,17.7586,411.068,78.1122,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
2,120.922,-48.6364,381.501,112.366,17.7586,411.068,73.1826,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
2,109.028,-45.132,362.876,111.747,22.7139,355.237,68.3288,jt_x, jt_y, jt_z, jt_q, 0.250868,0.0738594,0.223214,-0.847033,jd
2,106.589,-43.0816,344.846,111.747,22.7139,355.237,66.8103,jt_x, jt_y, jt_z, jt_q, 0.250868,0.0738594,0.223214,-0.847033,jd
2,105.116,-41.619,340.689,88.0458,21.4928,329.816,66.2777,jt_x, jt_y, jt_z, jt_q, 0.0238994,0.0217752,0.603568,-1.21095,jd
2,107.57,-42,338.305,88.0458,21.4928,329.816,66.9673,jt_x, jt_y, jt_z, jt_q, 0.0238994,0.0217752,0.603568,-1.21095,jd
2,108.644,-40.4416,338.264,111.747,22.7139,355.237,65.47,jt_x, jt_y, jt_z, jt_q, 0.250868,0.0738594,0.223214,-0.847033,jd
2,111.38,-23.7687,336.621,111.747,22.7139,355.237,50.0731,jt_x, jt_y, jt_z, jt_q, 0.250868,0.0738594,0.223214,-0.847033,jd
2,110.152,-9.27632,329.029,88.0458,21.4928,329.816,37.8953,jt_x, jt_y, jt_z, jt_q, 0.0238994,0.0217752,0.603568,-1.21095,jd
2,110.717,-1.79839,322.103,88.0458,21.4928,329.816,33.4059,jt_x, jt_y, jt_z, jt_q, 0.0238994,0.0217752,0.603568,-1.21095,jd
