pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
0,179.74,-12.505,362.553,145.738,33.2931,379.006,59.3658,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
0,195.561,-20.4377,375.485,145.738,33.2931,379.006,73.3603,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
0,191.463,-16.1873,386.843,145.738,33.2931,379.006,67.8273,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
0,191.641,-15.6167,402.503,145.738,33.2931,379.006,71.0736,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
0,189.319,-21.9248,412.523,140.935,35.6089,411.441,75.1816,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
0,188.335,-13.6995,426.624,140.935,35.6089,411.441,70.0617,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
0,174.947,-12.5065,419.935,140.935,35.6089,411.441,59.5322,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
0,169.052,-27.9321,419.241,140.935,35.6089,411.441,69.9204,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
0,163.148,-23.5924,423.533,129.827,29.5929,430.699,63.1688,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,163.265,-34.0039,424.766,129.827,29.5929,430.699,72.0961,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,162.823,-41.8383,430.074,129.827,29.5929,430.699,78.6865,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,159.84,-47.3865,427.297,129.827,29.5929,430.699,82.6935,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,157.041,-55.2275,413.64,113.289,17.5436,395.946,86.735,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,156.076,-62.0022,407.336,113.289,17.5436,395.946,91.0386,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,152.607,-71.0933,412.111,113.289,17.5436,395.946,98.3043,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,135.797,-75.5805,414.174,113.289,17.5436,395.946,97.5242,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,132.104,-93.8891,406.145,113.289,17.5436,395.946,113.469,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,121.465,-94.133,385.936,113.289,17.5436,395.946,112.422,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,120.477,-95.7625,378.415,113.289,17.5436,395.946,114.879,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,124.261,-90.3632,386.426,113.289,17.5436,395.946,108.88,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,126.632,-83.2289,387.802,113.289,17.5436,395.946,101.978,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,115.499,-82.3208,371.406,113.289,17.5436,395.946,102.859,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,109.916,-89.2736,351.207,93.0287,23.4015,361.689,114.415,jt_x, jt_y, jt_z, jt_q, 0.0194294,0.0152145,0.516289,-1.07201,jd
0,109.647,-85.2246,345.268,93.0287,23.4015,361.689,111.11,jt_x, jt_y, jt_z, jt_q, 0.0194294,0.0152145,0.516289,-1.07201,jd
0,115.683,-68.8841,335.359,112.505,26.0213,348.46,95.8581,jt_x, jt_y, jt_z, jt_q, 0.171299,0.0151441,0.165208,-0.865166,jd
0,117.445,-53.1577,332.422,112.505,26.0213,348.46,80.9378,jt_x, jt_y, jt_z, jt_q, 0.171299,0.0151441,0.165208,-0.865166,jd
0,118.281,-37.2668,334.586,112.505,26.0213,348.46,65.048,jt_x, jt_y, jt_z, jt_q, 0.171299,0.0151441,0.165208,-0.865166,jd
0,117.606,-26.6331,344.209,112.505,26.0213,348.46,53.0715,jt_x, jt_y, jt_z, jt_q, 0.171299,0.0151441,0.165208,-0.865166,jd
0,126.887,-22.1703,364.95,113.289,17.5436,395.946,52.1809,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,134.582,-27.4194,381.995,113.289,17.5436,395.946,51.6692,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,140.526,-27.1735,405.206,113.289,17.5436,395.946,53.1717,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,146.043,-27.3165,435.223,129.827,29.5929,430.699,59.3473,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,153.557,-19.276,450.029,129.827,29.5929,430.699,57.6622,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,151.742,-18.5065,471.937,129.827,29.5929,430.699,67.0403,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,150.817,-17.8023,484.295,151.478,48.9499,487.563,66.8354,jt_x, jt_y, jt_z, jt_q, -0.6678,0.0443036,-0.389976,-0.365032,jd
0,144.234,-13.0413,493.1,151.478,48.9499,487.563,62.6582,jt_x, jt_y, jt_z, jt_q, -0.6678,0.0443036,-0.389976,-0.365032,jd
0,141.38,-12.6298,494.92,151.478,48.9499,487.563,62.8345,jt_x, jt_y, jt_z, jt_q, -0.6678,0.0443036,-0.389976,-0.365032,jd
0,135.068,-11.0437,486.216,151.478,48.9499,487.563,62.2122,jt_x, jt_y, jt_z, jt_q, -0.6678,0.0443036,-0.389976,-0.365032,jd
0,131.2,-1.46552,486.752,151.478,48.9499,487.563,54.347,jt_x, jt_y, jt_z, jt_q, -0.6678,0.0443036,-0.389976,-0.365032,jd
0,141.624,-11.9046,484.135,151.478,48.9499,487.563,61.7424,jt_x, jt_y, jt_z, jt_q, -0.6678,0.0443036,-0.389976,-0.365032,jd
0,142.843,-31.5972,479.073,129.827,29.5929,430.699,79.0806,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,133.778,-29.6072,479.842,129.827,29.5929,430.699,77.0412,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,122.622,-8.87283,472.827,90.9191,35.0261,491.583,57.3062,jt_x, jt_y, jt_z, jt_q, -0.371994,0.0652812,-0.920479,-1.16106,jd
0,128.899,-34.1484,470.081,129.827,29.5929,430.699,74.9316,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,124.865,-39.8351,460.857,129.827,29.5929,430.699,75.8577,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,123.276,-36.2216,458.84,129.827,29.5929,430.699,71.8777,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,131.237,-28.4932,477.468,129.827,29.5929,430.699,74.5879,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,125.249,-26.489,472.777,129.827,29.5929,430.699,70.2615,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,122.908,-5.48859,473.82,90.9191,35.0261,491.583,54.592,jt_x, jt_y, jt_z, jt_q, -0.371994,0.0652812,-0.920479,-1.16106,jd
0,122.087,4.38078,472.498,110.541,49.265,480.236,46.9868,jt_x, jt_y, jt_z, jt_q, -0.669079,0.2342,-0.259169,-0.926799,jd
0,117.999,20.4199,472.74,110.541,49.265,480.236,30.722,jt_x, jt_y, jt_z, jt_q, -0.669079,0.2342,-0.259169,-0.926799,jd
0,142.625,15.6653,477.589,151.478,48.9499,487.563,35.8569,jt_x, jt_y, jt_z, jt_q, -0.6678,0.0443036,-0.389976,-0.365032,jd
0,156.108,19.8734,471.619,151.478,48.9499,487.563,33.4823,jt_x, jt_y, jt_z, jt_q, -0.6678,0.0443036,-0.389976,-0.365032,jd
0,137.181,30.8121,458.516,135.67,48.44,458.668,17.6932,jt_x, jt_y, jt_z, jt_q, 0.0850635,0.00162447,-1.42434,-0.746588,jd
0,129.395,38.1693,456.172,135.67,48.44,458.668,12.2917,jt_x, jt_y, jt_z, jt_q, 0.0850635,0.00162447,-1.42434,-0.746588,jd
0,120.469,46.6671,463.931,135.67,48.44,458.668,16.1832,jt_x, jt_y, jt_z, jt_q, 0.0850635,0.00162447,-1.42434,-0.746588,jd
0,116.871,54.7777,458.6,125.223,64.8044,455.726,13.3622,jt_x, jt_y, jt_z, jt_q, -0.456761,0.361817,-0.207985,-1.09217,jd
0,124.858,51.1953,455.73,135.67,48.44,458.668,11.5377,jt_x, jt_y, jt_z, jt_q, 0.0850635,0.00162447,-1.42434,-0.746588,jd
0,136.611,39.6219,461.527,135.67,48.44,458.668,9.31785,jt_x, jt_y, jt_z, jt_q, 0.0850635,0.00162447,-1.42434,-0.746588,jd
0,142.972,9.67187,453.593,129.827,29.5929,430.699,33.0725,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,151.737,-9.03931,451.351,129.827,29.5929,430.699,48.9797,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,149.752,2.86647,434.58,129.827,29.5929,430.699,33.5614,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,148.844,1.45501,435.007,129.827,29.5929,430.699,34.234,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,148.44,2.85994,435.898,129.827,29.5929,430.699,32.9868,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,148.289,2.20325,435.377,129.827,29.5929,430.699,33.3607,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,145.378,3.67386,432.549,129.827,29.5929,430.699,30.2831,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,143.141,9.77033,425.169,129.827,29.5929,430.699,24.511,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,139.462,16.0719,422.712,129.827,29.5929,430.699,18.4239,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,136.391,24.1135,406.388,140.935,35.6089,411.441,13.3536,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
