pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
3,498.728,-68.6826,246.126,251.826,103.519,331.504,312.895,jt_x, jt_y, jt_z, jt_q, 0.200979,0.0289452,0.270805,-0.182815,jd
3,402.797,-105.252,202.97,208.895,61.8662,296.209,272.433,jt_x, jt_y, jt_z, jt_q, 0.377022,0.0273625,0.184174,-0.510055,jd
3,321.9,-90.4513,224.776,208.895,61.8662,296.209,202.665,jt_x, jt_y, jt_z, jt_q, 0.377022,0.0273625,0.184174,-0.510055,jd
3,330.74,-67.3401,234.912,208.895,61.8662,296.209,187.876,jt_x, jt_y, jt_z, jt_q, 0.377022,0.0273625,0.184174,-0.510055,jd
3,361.225,-16.8377,263.645,232.268,81.7834,315.765,170.506,jt_x, jt_y, jt_z, jt_q, 0.281516,0.0250753,0.274905,-0.296926,jd
3,383.856,15.6474,280.535,251.826,103.519,331.504,166.587,jt_x, jt_y, jt_z, jt_q, 0.200979,0.0289452,0.270805,-0.182815,jd
3,402.874,41.015,289.445,251.826,103.519,331.504,168.794,jt_x, jt_y, jt_z, jt_q, 0.200979,0.0289452,0.270805,-0.182815,jd
3,421.327,74.0497,335.907,251.826,103.519,331.504,172.1,jt_x, jt_y, jt_z, jt_q, 0.200979,0.0289452,0.270805,-0.182815,jd
3,434.655,107.155,379.081,258.322,116.282,374.062,176.641,jt_x, jt_y, jt_z, jt_q, 0.256826,0.0277287,-0.640026,-0.311233,jd
3,423.577,113.154,398.826,258.322,116.282,374.062,167.13,jt_x, jt_y, jt_z, jt_q, 0.256826,0.0277287,-0.640026,-0.311233,jd
3,448.347,90.3078,397.653,258.322,116.282,374.062,193.238,jt_x, jt_y, jt_z, jt_q, 0.256826,0.0277287,-0.640026,-0.311233,jd
3,394.741,105.534,404.994,258.322,116.282,374.062,140.294,jt_x, jt_y, jt_z, jt_q, 0.256826,0.0277287,-0.640026,-0.311233,jd
3,383.799,91.6644,416.568,258.322,116.282,374.062,134.749,jt_x, jt_y, jt_z, jt_q, 0.256826,0.0277287,-0.640026,-0.311233,jd
3,375.991,80.6349,428.165,248.599,98.3154,416.067,129.181,jt_x, jt_y, jt_z, jt_q, 0.117628,0.0262427,-0.604759,-0.417262,jd
3,378.536,74.7963,437.63,248.599,98.3154,416.067,133.797,jt_x, jt_y, jt_z, jt_q, 0.117628,0.0262427,-0.604759,-0.417262,jd
3,380.247,89.2088,445.964,248.599,98.3154,416.067,135.308,jt_x, jt_y, jt_z, jt_q, 0.117628,0.0262427,-0.604759,-0.417262,jd
