pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
3,498.728,-68.6826,246.126,237.161,102.073,323.849,321.894,jt_x, jt_y, jt_z, jt_q, 0.228574,0.0466701,0.321956,-0.337931,jd
3,402.797,-105.252,202.97,196.339,67.5063,285.283,281.506,jt_x, jt_y, jt_z, jt_q, 0.416196,0.0353025,0.205754,-0.572315,jd
3,321.9,-90.4513,224.776,196.339,67.5063,285.283,210.659,jt_x, jt_y, jt_z, jt_q, 0.416196,0.0353025,0.205754,-0.572315,jd
3,330.74,-67.3401,234.912,196.339,67.5063,285.283,196.937,jt_x, jt_y, jt_z, jt_q, 0.416196,0.0353025,0.205754,-0.572315,jd
3,361.225,-16.8377,263.645,214.9,84.1927,298.31,181.162,jt_x, jt_y, jt_z, jt_q, 0.423168,0.155409,0.244866,-0.363766,jd
3,383.856,15.6474,280.535,237.161,102.073,323.849,175.684,jt_x, jt_y, jt_z, jt_q, 0.228574,0.0466701,0.321956,-0.337931,jd
3,402.874,41.015,289.445,237.161,102.073,323.849,179.924,jt_x, jt_y, jt_z, jt_q, 0.228574,0.0466701,0.321956,-0.337931,jd
3,421.327,74.0497,335.907,237.161,102.073,323.849,186.676,jt_x, jt_y, jt_z, jt_q, 0.228574,0.0466701,0.321956,-0.337931,jd
3,434.655,107.155,379.081,245.259,107.96,428.775,195.809,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,423.577,113.154,398.826,245.259,107.96,428.775,180.89,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,448.347,90.3078,397.653,245.259,107.96,428.775,206.216,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,394.741,105.534,404.994,245.259,107.96,428.775,151.381,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,383.799,91.6644,416.568,245.259,107.96,428.775,140.028,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,375.991,80.6349,428.165,245.259,107.96,428.775,133.559,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,378.536,74.7963,437.63,245.259,107.96,428.775,137.626,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,380.247,89.2088,445.964,245.259,107.96,428.775,137.364,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,386.134,107.452,452.308,245.259,107.96,428.775,142.828,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,382.275,111.826,465.276,245.259,107.96,428.775,141.847,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,373.737,116.168,486.56,245.259,107.96,428.775,141.114,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,363.715,102.718,495.292,245.259,107.96,428.775,135.955,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,371.633,66.0824,480.227,245.259,107.96,428.775,142.729,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,372.363,24.247,480.575,245.259,107.96,428.775,160.768,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,369.967,-1.96697,492.331,245.259,107.96,428.775,177.976,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,363.48,-38.4932,489.164,245.259,107.96,428.775,197.665,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,334.323,-76.343,481.304,203.841,58.1688,387.98,209.352,jt_x, jt_y, jt_z, jt_q, 0.0975539,0.0306538,0.163496,-0.667773,jd
3,344.277,-99.5227,482.806,203.841,58.1688,387.98,231.476,jt_x, jt_y, jt_z, jt_q, 0.0975539,0.0306538,0.163496,-0.667773,jd
3,342.3,-105.606,498.355,203.841,58.1688,387.98,241.197,jt_x, jt_y, jt_z, jt_q, 0.0975539,0.0306538,0.163496,-0.667773,jd
3,339.688,-123.59,495.372,203.841,58.1688,387.98,251.045,jt_x, jt_y, jt_z, jt_q, 0.0975539,0.0306538,0.163496,-0.667773,jd
3,345.703,-133.969,496.758,203.841,58.1688,387.98,262.439,jt_x, jt_y, jt_z, jt_q, 0.0975539,0.0306538,0.163496,-0.667773,jd
3,342.437,-145.95,491.069,203.841,58.1688,387.98,267.396,jt_x, jt_y, jt_z, jt_q, 0.0975539,0.0306538,0.163496,-0.667773,jd
3,334.331,-165.801,481.701,203.841,58.1688,387.98,275.634,jt_x, jt_y, jt_z, jt_q, 0.0975539,0.0306538,0.163496,-0.667773,jd
3,338.825,-190.134,484.144,175.116,41.4392,391.928,298.213,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,278.44,-110.658,484.506,138.169,31.3269,462.702,200.777,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
