pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
3,291.584,-35.9116,325.806,207.588,52.9459,341.258,123.247,jt_x, jt_y, jt_z, jt_q, 0.370341,0.0251318,-0.145057,-0.584298,jd
3,277.8,-38.3477,313.73,196.349,46.3005,324.261,117.943,jt_x, jt_y, jt_z, jt_q, 0.229488,0.030559,0.166983,-0.676763,jd
3,284.486,-38.0661,306.502,208.181,57.0098,316.36,122.307,jt_x, jt_y, jt_z, jt_q, 0.370809,0.0270984,-0.0199839,-0.5554,jd
3,277.966,-37.4776,306.961,208.181,57.0098,316.36,117.84,jt_x, jt_y, jt_z, jt_q, 0.370809,0.0270984,-0.0199839,-0.5554,jd
3,276.892,-40.2908,311.138,196.349,46.3005,324.261,118.985,jt_x, jt_y, jt_z, jt_q, 0.229488,0.030559,0.166983,-0.676763,jd
3,281.008,-45.5497,314.843,196.349,46.3005,324.261,125.269,jt_x, jt_y, jt_z, jt_q, 0.229488,0.030559,0.166983,-0.676763,jd
3,279.373,-42.8095,321.352,207.588,52.9459,341.258,121.319,jt_x, jt_y, jt_z, jt_q, 0.370341,0.0251318,-0.145057,-0.584298,jd
3,283.391,-39.8019,326.766,207.588,52.9459,341.258,120.657,jt_x, jt_y, jt_z, jt_q, 0.370341,0.0251318,-0.145057,-0.584298,jd
3,280.852,-39.8703,338.825,200.819,45.828,351.417,117.932,jt_x, jt_y, jt_z, jt_q, 0.161318,0.0245614,-0.0162645,-0.735525,jd
3,283.593,-42.4057,342.219,200.819,45.828,351.417,121.331,jt_x, jt_y, jt_z, jt_q, 0.161318,0.0245614,-0.0162645,-0.735525,jd
3,274.501,-43.9612,346.938,200.819,45.828,351.417,116.238,jt_x, jt_y, jt_z, jt_q, 0.161318,0.0245614,-0.0162645,-0.735525,jd
3,266.248,-42.4985,353.941,195.952,39.999,370.583,109.655,jt_x, jt_y, jt_z, jt_q, 0.161318,0.0245614,-0.0162645,-0.735525,jd
3,260.716,-41.2409,358.521,195.952,39.999,370.583,104.594,jt_x, jt_y, jt_z, jt_q, 0.161318,0.0245614,-0.0162645,-0.735525,jd
3,254.873,-41.2063,364.328,195.952,39.999,370.583,100.524,jt_x, jt_y, jt_z, jt_q, 0.161318,0.0245614,-0.0162645,-0.735525,jd
3,252.858,-45.6885,367.103,195.952,39.999,370.583,102.921,jt_x, jt_y, jt_z, jt_q, 0.161318,0.0245614,-0.0162645,-0.735525,jd
3,253.779,-48.9849,366.227,195.952,39.999,370.583,106.212,jt_x, jt_y, jt_z, jt_q, 0.161318,0.0245614,-0.0162645,-0.735525,jd
3,252.945,-52.4349,365.509,195.952,39.999,370.583,108.71,jt_x, jt_y, jt_z, jt_q, 0.161318,0.0245614,-0.0162645,-0.735525,jd
3,257.511,-57.6996,364.1,195.952,39.999,370.583,115.657,jt_x, jt_y, jt_z, jt_q, 0.161318,0.0245614,-0.0162645,-0.735525,jd
3,255.796,-59.1132,362.917,195.952,39.999,370.583,116.032,jt_x, jt_y, jt_z, jt_q, 0.161318,0.0245614,-0.0162645,-0.735525,jd
3,252.041,-62.6461,358.911,195.952,39.999,370.583,117.551,jt_x, jt_y, jt_z, jt_q, 0.161318,0.0245614,-0.0162645,-0.735525,jd
3,249.603,-60.2932,359.871,195.952,39.999,370.583,114.244,jt_x, jt_y, jt_z, jt_q, 0.161318,0.0245614,-0.0162645,-0.735525,jd
3,238.049,-53.1877,364.111,190.302,33.1569,391.506,102.4,jt_x, jt_y, jt_z, jt_q, -0.097781,0.0289531,0.18114,-0.848145,jd
3,232.64,-46.5189,365.589,190.302,33.1569,391.506,93.8745,jt_x, jt_y, jt_z, jt_q, -0.097781,0.0289531,0.18114,-0.848145,jd
3,230.161,-42.7796,369.4,190.302,33.1569,391.506,88.565,jt_x, jt_y, jt_z, jt_q, -0.097781,0.0289531,0.18114,-0.848145,jd
3,231.249,-43.9098,371.286,190.302,33.1569,391.506,89.5812,jt_x, jt_y, jt_z, jt_q, -0.097781,0.0289531,0.18114,-0.848145,jd
3,234.138,-44.9671,372.992,190.302,33.1569,391.506,91.4749,jt_x, jt_y, jt_z, jt_q, -0.097781,0.0289531,0.18114,-0.848145,jd
3,236.708,-47.3165,374.485,190.302,33.1569,391.506,94.4413,jt_x, jt_y, jt_z, jt_q, -0.097781,0.0289531,0.18114,-0.848145,jd
3,242.286,-51.9768,373.998,190.302,33.1569,391.506,101.275,jt_x, jt_y, jt_z, jt_q, -0.097781,0.0289531,0.18114,-0.848145,jd
3,236.589,-51.2159,375.625,190.302,33.1569,391.506,97.5369,jt_x, jt_y, jt_z, jt_q, -0.097781,0.0289531,0.18114,-0.848145,jd
