pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
3,291.584,-35.9116,325.806,221.471,78.5353,316.471,134.54,jt_x, jt_y, jt_z, jt_q, 0.381972,0.0549908,0.207172,-0.490055,jd
3,277.8,-38.3477,313.73,205.125,66.6652,303.105,128.149,jt_x, jt_y, jt_z, jt_q, 0.381972,0.0549908,0.207172,-0.490055,jd
3,284.486,-38.0661,306.502,205.125,66.6652,303.105,131.447,jt_x, jt_y, jt_z, jt_q, 0.381972,0.0549908,0.207172,-0.490055,jd
3,277.966,-37.4776,306.961,205.125,66.6652,303.105,127.147,jt_x, jt_y, jt_z, jt_q, 0.381972,0.0549908,0.207172,-0.490055,jd
3,276.892,-40.2908,311.138,205.125,66.6652,303.105,129.053,jt_x, jt_y, jt_z, jt_q, 0.381972,0.0549908,0.207172,-0.490055,jd
3,281.008,-45.5497,314.843,205.125,66.6652,303.105,135.971,jt_x, jt_y, jt_z, jt_q, 0.381972,0.0549908,0.207172,-0.490055,jd
3,279.373,-42.8095,321.352,205.125,66.6652,303.105,133.531,jt_x, jt_y, jt_z, jt_q, 0.381972,0.0549908,0.207172,-0.490055,jd
3,283.391,-39.8019,326.766,221.471,78.5353,316.471,133.954,jt_x, jt_y, jt_z, jt_q, 0.381972,0.0549908,0.207172,-0.490055,jd
3,280.852,-39.8703,338.825,190.149,58.4344,343.033,133.823,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,283.593,-42.4057,342.219,190.149,58.4344,343.033,137.482,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,274.501,-43.9612,346.938,190.149,58.4344,343.033,132.723,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,266.248,-42.4985,353.941,190.149,58.4344,343.033,126.876,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,260.716,-41.2409,358.521,190.149,58.4344,343.033,123.105,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,254.873,-41.2063,364.328,190.149,58.4344,343.033,120.71,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,252.858,-45.6885,367.103,190.149,58.4344,343.033,123.909,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,253.779,-48.9849,366.227,190.149,58.4344,343.033,126.987,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,252.945,-52.4349,365.509,190.149,58.4344,343.033,129.385,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,257.511,-57.6996,364.1,190.149,58.4344,343.033,135.899,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,255.796,-59.1132,362.917,190.149,58.4344,343.033,136.097,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,252.041,-62.6461,358.911,190.149,58.4344,343.033,136.906,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,249.603,-60.2932,359.871,190.149,58.4344,343.033,133.845,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,238.049,-53.1877,364.111,190.149,58.4344,343.033,123.281,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,232.64,-46.5189,365.589,190.149,58.4344,343.033,115.453,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,230.161,-42.7796,369.4,190.149,58.4344,343.033,111.985,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,231.249,-43.9098,371.286,190.149,58.4344,343.033,113.85,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,234.138,-44.9671,372.992,190.149,58.4344,343.033,116.295,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,236.708,-47.3165,374.485,190.149,58.4344,343.033,119.751,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,242.286,-51.9768,373.998,190.149,58.4344,343.033,125.967,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,236.589,-51.2159,375.625,149.913,35.8151,386.911,123.348,jt_x, jt_y, jt_z, jt_q, 0.199936,0.114035,-0.299198,-1.00389,jd
3,236.728,-51.0176,375.229,190.149,58.4344,343.033,123.231,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,237.761,-45.688,373.695,190.149,58.4344,343.033,118.527,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,234.767,-37.5505,373.818,190.149,58.4344,343.033,110.234,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,236.781,-31.3283,373.694,190.149,58.4344,343.033,105.698,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,237.021,-29.1532,371.132,190.149,58.4344,343.033,103.238,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
3,240.164,-30.4414,371.12,190.149,58.4344,343.033,105.78,jt_x, jt_y, jt_z, jt_q, 0.192887,0.124381,-0.029663,-0.704213,jd
