pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
3,377.849,-68.035,251.141,227.018,79.5365,311.171,219.387,jt_x, jt_y, jt_z, jt_q, 0.244003,0.0278121,0.391897,-0.449532,jd
3,385.537,-77.9331,259.807,227.018,79.5365,311.171,229.267,jt_x, jt_y, jt_z, jt_q, 0.244003,0.0278121,0.391897,-0.449532,jd
3,387.469,-82.5219,268.907,227.018,79.5365,311.171,231.935,jt_x, jt_y, jt_z, jt_q, 0.244003,0.0278121,0.391897,-0.449532,jd
3,395.24,-101.834,269.851,227.018,79.5365,311.171,250.801,jt_x, jt_y, jt_z, jt_q, 0.244003,0.0278121,0.391897,-0.449532,jd
3,378.541,-49.3854,305.983,227.018,79.5365,311.171,199.015,jt_x, jt_y, jt_z, jt_q, 0.244003,0.0278121,0.391897,-0.449532,jd
3,347.289,-5.51204,395.67,260.283,110.258,381.299,145.531,jt_x, jt_y, jt_z, jt_q, 0.0292889,0.0332372,0.325193,-0.181343,jd
3,290.952,-4.89005,464.623,203.866,48.4489,425.517,109.354,jt_x, jt_y, jt_z, jt_q, 0.238438,0.0494076,-0.518152,-0.843621,jd
3,262.53,-27.3122,474.805,203.866,48.4489,425.517,107.752,jt_x, jt_y, jt_z, jt_q, 0.238438,0.0494076,-0.518152,-0.843621,jd
3,239.523,-52.0476,466.469,203.866,48.4489,425.517,114.228,jt_x, jt_y, jt_z, jt_q, 0.238438,0.0494076,-0.518152,-0.843621,jd
3,206.286,-90.8832,455.168,139.319,24.597,415.081,139.382,jt_x, jt_y, jt_z, jt_q, 0.0528339,0.0407867,-0.0509703,-1.29773,jd
3,182.578,-108.428,413.552,139.319,24.597,415.081,139.891,jt_x, jt_y, jt_z, jt_q, 0.0528339,0.0407867,-0.0509703,-1.29773,jd
3,164.547,-100.511,437.591,139.319,24.597,415.081,129.596,jt_x, jt_y, jt_z, jt_q, 0.0528339,0.0407867,-0.0509703,-1.29773,jd
3,144.019,-78.6691,422.38,139.319,24.597,415.081,103.63,jt_x, jt_y, jt_z, jt_q, 0.0528339,0.0407867,-0.0509703,-1.29773,jd
3,192.884,-111.281,443.833,139.319,24.597,415.081,148.858,jt_x, jt_y, jt_z, jt_q, 0.0528339,0.0407867,-0.0509703,-1.29773,jd
