pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
3,377.849,-68.035,251.141,214.9,84.1927,298.31,227.926,jt_x, jt_y, jt_z, jt_q, 0.423168,0.155409,0.244866,-0.363766,jd
3,385.537,-77.9331,259.807,214.9,84.1927,298.31,238.504,jt_x, jt_y, jt_z, jt_q, 0.423168,0.155409,0.244866,-0.363766,jd
3,387.469,-82.5219,268.907,214.9,84.1927,298.31,241.74,jt_x, jt_y, jt_z, jt_q, 0.423168,0.155409,0.244866,-0.363766,jd
3,395.24,-101.834,269.851,212.818,70.5119,337.174,259.833,jt_x, jt_y, jt_z, jt_q, 0.0613746,0.0560859,0.524473,-0.659912,jd
3,378.541,-49.3854,305.983,212.818,70.5119,337.174,206.911,jt_x, jt_y, jt_z, jt_q, 0.0613746,0.0560859,0.524473,-0.659912,jd
3,347.289,-5.51204,395.67,232.419,79.8494,380.012,143.968,jt_x, jt_y, jt_z, jt_q, 0.0195036,0.209056,0.186714,-0.420178,jd
3,290.952,-4.89005,464.623,245.259,107.96,428.775,126.917,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,262.53,-27.3122,474.805,203.841,58.1688,387.98,135.241,jt_x, jt_y, jt_z, jt_q, 0.0975539,0.0306538,0.163496,-0.667773,jd
3,239.523,-52.0476,466.469,138.169,31.3269,462.702,131.294,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,206.286,-90.8832,455.168,138.169,31.3269,462.702,140.114,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,182.578,-108.428,413.552,175.116,41.4392,391.928,151.603,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,164.547,-100.511,437.591,138.169,31.3269,462.702,136.776,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,144.019,-78.6691,422.38,138.169,31.3269,462.702,117.3,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,192.884,-111.281,443.833,138.169,31.3269,462.702,153.905,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,195.091,-103.752,453.467,138.169,31.3269,462.702,146.873,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,186.705,-86.6635,455.743,138.169,31.3269,462.702,127.773,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,159.261,-92.7878,434.193,138.169,31.3269,462.702,129.082,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,136.885,-82.3639,436.395,138.169,31.3269,462.702,116.702,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,157.592,-73.6551,469.333,138.169,31.3269,462.702,106.97,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,172.934,-104.588,437.35,138.169,31.3269,462.702,142.563,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,181.449,-117.419,414.899,175.116,41.4392,391.928,160.635,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,179.416,-121.962,367.79,168.753,37.779,337.333,162.968,jt_x, jt_y, jt_z, jt_q, 0.236659,0.149827,-0.165331,-0.921668,jd
3,172.366,-115.368,313.306,168.753,37.779,337.333,155.062,jt_x, jt_y, jt_z, jt_q, 0.236659,0.149827,-0.165331,-0.921668,jd
3,158.1,-103.905,261.438,168.753,37.779,337.333,161.083,jt_x, jt_y, jt_z, jt_q, 0.236659,0.149827,-0.165331,-0.921668,jd
3,138.93,-83.1025,230.802,147.986,56.9058,247.793,141.326,jt_x, jt_y, jt_z, jt_q, 0.536047,0.139239,0.339559,-0.488382,jd
3,132.218,-56.2512,223.959,147.986,56.9058,247.793,116.71,jt_x, jt_y, jt_z, jt_q, 0.536047,0.139239,0.339559,-0.488382,jd
3,138.146,-35.6132,214.597,147.986,56.9058,247.793,98.7853,jt_x, jt_y, jt_z, jt_q, 0.536047,0.139239,0.339559,-0.488382,jd
3,143.949,-17.3181,191.166,147.986,56.9058,247.793,93.4453,jt_x, jt_y, jt_z, jt_q, 0.536047,0.139239,0.339559,-0.488382,jd
3,156.129,-2.34029,179.171,147.986,56.9058,247.793,91.0237,jt_x, jt_y, jt_z, jt_q, 0.536047,0.139239,0.339559,-0.488382,jd
3,211.801,17.4858,183.999,147.986,56.9058,247.793,98.4679,jt_x, jt_y, jt_z, jt_q, 0.536047,0.139239,0.339559,-0.488382,jd
3,271.456,31.0058,234.246,196.339,67.5063,285.283,97.8754,jt_x, jt_y, jt_z, jt_q, 0.416196,0.0353025,0.205754,-0.572315,jd
3,311.434,52.8542,288.927,237.161,102.073,323.849,95.7002,jt_x, jt_y, jt_z, jt_q, 0.228574,0.0466701,0.321956,-0.337931,jd
3,335.219,88.834,338.272,237.161,102.073,323.849,99.9938,jt_x, jt_y, jt_z, jt_q, 0.228574,0.0466701,0.321956,-0.337931,jd
3,339.275,148.131,380.323,238.052,166.058,346.467,108.229,jt_x, jt_y, jt_z, jt_q, 0.335737,0.328338,-0.259313,-0.251538,jd
3,319.451,174.912,410.335,245.259,107.96,428.775,101.623,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,297.614,200.312,429.111,208.474,198.176,443.347,90.2956,jt_x, jt_y, jt_z, jt_q, -0.282985,0.593709,0.192924,-0.749237,jd
3,255.442,238.404,447.516,208.474,198.176,443.347,61.9814,jt_x, jt_y, jt_z, jt_q, -0.282985,0.593709,0.192924,-0.749237,jd
3,225.012,230.569,469.857,208.474,198.176,443.347,45.0072,jt_x, jt_y, jt_z, jt_q, -0.282985,0.593709,0.192924,-0.749237,jd
3,216.509,195.702,488.813,208.474,198.176,443.347,46.2371,jt_x, jt_y, jt_z, jt_q, -0.282985,0.593709,0.192924,-0.749237,jd
3,209.182,191.177,474.735,208.474,198.176,443.347,32.1672,jt_x, jt_y, jt_z, jt_q, -0.282985,0.593709,0.192924,-0.749237,jd
3,202.017,170.877,478.713,208.474,198.176,443.347,45.1407,jt_x, jt_y, jt_z, jt_q, -0.282985,0.593709,0.192924,-0.749237,jd
3,190.917,161.751,478.076,208.474,198.176,443.347,53.3025,jt_x, jt_y, jt_z, jt_q, -0.282985,0.593709,0.192924,-0.749237,jd
3,192.729,144.977,466.47,208.474,198.176,443.347,60.1057,jt_x, jt_y, jt_z, jt_q, -0.282985,0.593709,0.192924,-0.749237,jd
3,209.738,103.129,468.522,245.259,107.96,428.775,53.5245,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,212.829,71.7733,467.091,245.259,107.96,428.775,61.8807,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,210.397,60.5433,471.134,245.259,107.96,428.775,72.5117,jt_x, jt_y, jt_z, jt_q, 0.170662,0.0873179,-0.574719,-0.362188,jd
3,215.376,46.9482,480.135,138.169,31.3269,462.702,80.6779,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,216.38,19.7831,484.353,138.169,31.3269,462.702,81.9692,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,227.171,-17.74,483.288,138.169,31.3269,462.702,103.696,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,220.414,-48.5913,469.225,138.169,31.3269,462.702,114.864,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,195.003,-62.7807,453.614,138.169,31.3269,462.702,110.313,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,181.985,-52.7117,432.73,138.169,31.3269,462.702,99.4016,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,167.383,-61.8124,399.639,175.116,41.4392,391.928,103.828,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,144.612,-82.3967,388.483,175.116,41.4392,391.928,127.584,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
3,135.458,-94.2934,359.729,168.753,37.779,337.333,138.034,jt_x, jt_y, jt_z, jt_q, 0.236659,0.149827,-0.165331,-0.921668,jd
3,113.507,-89.5648,359.114,145.158,44.2412,348.49,137.908,jt_x, jt_y, jt_z, jt_q, 0.712555,0.0899847,-0.355296,-1.03147,jd
3,97.0837,-105.809,321.269,145.158,44.2412,348.49,159.898,jt_x, jt_y, jt_z, jt_q, 0.712555,0.0899847,-0.355296,-1.03147,jd
3,98.0525,-87.0237,301.224,145.158,44.2412,348.49,147.253,jt_x, jt_y, jt_z, jt_q, 0.712555,0.0899847,-0.355296,-1.03147,jd
3,88.5268,-66.1033,305.162,145.158,44.2412,348.49,131.379,jt_x, jt_y, jt_z, jt_q, 0.712555,0.0899847,-0.355296,-1.03147,jd
3,99.9281,-81.6022,250.543,147.986,56.9058,247.793,146.634,jt_x, jt_y, jt_z, jt_q, 0.536047,0.139239,0.339559,-0.488382,jd
3,119.202,-101.63,205.89,147.986,56.9058,247.793,166.487,jt_x, jt_y, jt_z, jt_q, 0.536047,0.139239,0.339559,-0.488382,jd
3,141.277,-107.167,167.848,147.986,56.9058,247.793,182.636,jt_x, jt_y, jt_z, jt_q, 0.536047,0.139239,0.339559,-0.488382,jd
3,167.959,-97.9085,136.283,147.986,56.9058,247.793,191.835,jt_x, jt_y, jt_z, jt_q, 0.536047,0.139239,0.339559,-0.488382,jd
3,191.888,-69.191,114.561,147.986,56.9058,247.793,188.622,jt_x, jt_y, jt_z, jt_q, 0.536047,0.139239,0.339559,-0.488382,jd
3,200.53,-29.6176,99.784,141.526,79.1998,222.932,174.609,jt_x, jt_y, jt_z, jt_q, 1.08158,0.0946162,-0.283384,-0.608582,jd
3,225.093,-2.85413,111.134,141.526,79.1998,222.932,161.911,jt_x, jt_y, jt_z, jt_q, 1.08158,0.0946162,-0.283384,-0.608582,jd
