pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
0,364.049,-163.594,94.3331,182.097,57.4291,271.453,336.643,jt_x, jt_y, jt_z, jt_q, 0.579209,0.0354378,0.159419,-0.539492,jd
0,233.79,-33.7996,297.987,196.349,46.3005,324.261,92.2396,jt_x, jt_y, jt_z, jt_q, 0.229488,0.030559,0.166983,-0.676763,jd
0,196.906,-6.76749,295.115,165.229,33.2179,314.102,54.4318,jt_x, jt_y, jt_z, jt_q, 0.560445,0.0276545,-0.0237371,-0.797793,jd
0,193.88,-40.9463,296.456,165.229,33.2179,314.102,81.441,jt_x, jt_y, jt_z, jt_q, 0.560445,0.0276545,-0.0237371,-0.797793,jd
0,192.692,-52.5447,321.628,163.351,29.6983,336.243,88.5349,jt_x, jt_y, jt_z, jt_q, 0.391276,0.0260744,-0.0300411,-0.946475,jd
0,200.431,-42.9226,372.121,190.302,33.1569,391.506,79.161,jt_x, jt_y, jt_z, jt_q, -0.097781,0.0289531,0.18114,-0.848145,jd
0,204.054,-40.4247,403.051,190.302,33.1569,391.506,75.7405,jt_x, jt_y, jt_z, jt_q, -0.097781,0.0289531,0.18114,-0.848145,jd
0,198.698,-52.7897,435.21,171.077,32.32,412.505,92.3153,jt_x, jt_y, jt_z, jt_q, 0.0202205,0.0674236,-0.31322,-1.02488,jd
0,182.868,-79.4985,441.13,145.359,23.5055,417.876,112.06,jt_x, jt_y, jt_z, jt_q, -0.2572,0.0672714,0.154057,-1.12643,jd
0,158.577,-110.637,423.325,116.513,14.1374,435.815,132.264,jt_x, jt_y, jt_z, jt_q, -0.384206,0.0276257,0.0561161,-1.27172,jd
0,144.638,-136.445,389.701,127.611,16.9795,386.921,154.392,jt_x, jt_y, jt_z, jt_q, 0.0644544,0.0292048,0.00684612,-1.1898,jd
0,127.081,-133.178,358.307,127.611,16.9795,386.921,152.861,jt_x, jt_y, jt_z, jt_q, 0.0644544,0.0292048,0.00684612,-1.1898,jd
0,108.791,-127.139,330.4,127.611,16.9795,386.921,155.946,jt_x, jt_y, jt_z, jt_q, 0.0644544,0.0292048,0.00684612,-1.1898,jd
