pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
0,364.049,-163.594,94.3331,196.339,67.5063,285.283,343.505,jt_x, jt_y, jt_z, jt_q, 0.416196,0.0353025,0.205754,-0.572315,jd
0,233.79,-33.7996,297.987,168.753,37.779,337.333,104.41,jt_x, jt_y, jt_z, jt_q, 0.236659,0.149827,-0.165331,-0.921668,jd
0,196.906,-6.76749,295.115,168.753,37.779,337.333,67.523,jt_x, jt_y, jt_z, jt_q, 0.236659,0.149827,-0.165331,-0.921668,jd
0,193.88,-40.9463,296.456,168.753,37.779,337.333,92.1955,jt_x, jt_y, jt_z, jt_q, 0.236659,0.149827,-0.165331,-0.921668,jd
0,192.692,-52.5447,321.628,168.753,37.779,337.333,94.7529,jt_x, jt_y, jt_z, jt_q, 0.236659,0.149827,-0.165331,-0.921668,jd
0,200.431,-42.9226,372.121,175.116,41.4392,391.928,90.2777,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
0,204.054,-40.4247,403.051,175.116,41.4392,391.928,87.5376,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
0,198.698,-52.7897,435.21,175.116,41.4392,391.928,106.342,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
0,182.868,-79.4985,441.13,138.169,31.3269,462.702,121.432,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
0,158.577,-110.637,423.325,138.169,31.3269,462.702,148.73,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
0,144.638,-136.445,389.701,175.116,41.4392,391.928,180.49,jt_x, jt_y, jt_z, jt_q, 0.0513561,0.0611453,-0.173107,-1.07797,jd
0,127.081,-133.178,358.307,168.753,37.779,337.333,177.208,jt_x, jt_y, jt_z, jt_q, 0.236659,0.149827,-0.165331,-0.921668,jd
0,108.791,-127.139,330.4,168.753,37.779,337.333,175.618,jt_x, jt_y, jt_z, jt_q, 0.236659,0.149827,-0.165331,-0.921668,jd
0,108.087,-127.7,319.005,168.753,37.779,337.333,177.199,jt_x, jt_y, jt_z, jt_q, 0.236659,0.149827,-0.165331,-0.921668,jd
0,110.442,-136.29,278.276,168.753,37.779,337.333,192.842,jt_x, jt_y, jt_z, jt_q, 0.236659,0.149827,-0.165331,-0.921668,jd
0,117.464,-133.768,248.232,147.986,56.9058,247.793,193.101,jt_x, jt_y, jt_z, jt_q, 0.536047,0.139239,0.339559,-0.488382,jd
0,123.924,-134.692,218.674,147.986,56.9058,247.793,195.286,jt_x, jt_y, jt_z, jt_q, 0.536047,0.139239,0.339559,-0.488382,jd
0,138.099,-132.141,174.646,147.986,56.9058,247.793,202.945,jt_x, jt_y, jt_z, jt_q, 0.536047,0.139239,0.339559,-0.488382,jd
