pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
2,434.456,-17.7031,215.88,227.105,97.3691,292.064,249.079,jt_x, jt_y, jt_z, jt_q, 0.558459,0.041836,-0.202029,-0.208198,jd
2,377.042,-40.6138,252.147,211.518,67.034,294.625,201.967,jt_x, jt_y, jt_z, jt_q, 0.404326,0.0280785,0.178971,-0.508905,jd
2,367.128,-33.3022,264.076,211.518,67.034,294.625,187.657,jt_x, jt_y, jt_z, jt_q, 0.404326,0.0280785,0.178971,-0.508905,jd
2,319.984,-2.42674,293.273,211.518,67.034,294.625,128.808,jt_x, jt_y, jt_z, jt_q, 0.404326,0.0280785,0.178971,-0.508905,jd
2,278.644,-5.35811,317.305,208.07,59.9475,320.992,96.2246,jt_x, jt_y, jt_z, jt_q, 0.216044,0.028178,0.289916,-0.533939,jd
2,251.727,-26.4235,335.442,202.585,49.4821,355.554,92.634,jt_x, jt_y, jt_z, jt_q, 0.108269,0.0458397,0.23062,-0.679724,jd
2,230.17,-59.376,340.646,180.659,36.8851,342.038,108.257,jt_x, jt_y, jt_z, jt_q, 0.317483,0.134447,-0.0508394,-0.819743,jd
2,211.508,-79.5887,345.362,168.626,31.1054,359.832,119.589,jt_x, jt_y, jt_z, jt_q, 0.138909,0.0622813,-0.103666,-0.950203,jd
2,185.862,-85.0745,367.476,144.853,22.6827,355.099,115.959,jt_x, jt_y, jt_z, jt_q, 0.443016,0.038185,-0.0748733,-1.08957,jd
2,182.633,-93.1114,389.768,170.958,29.5447,403.887,124.017,jt_x, jt_y, jt_z, jt_q, 0.138909,0.0622813,-0.103666,-0.950203,jd
2,179.726,-80.9813,412.849,170.958,29.5447,403.887,111.235,jt_x, jt_y, jt_z, jt_q, 0.138909,0.0622813,-0.103666,-0.950203,jd
2,179.072,-57.5738,442.866,170.958,29.5447,403.887,95.7852,jt_x, jt_y, jt_z, jt_q, 0.138909,0.0622813,-0.103666,-0.950203,jd
2,196.039,-28.3635,450.652,170.958,29.5447,403.887,78.5454,jt_x, jt_y, jt_z, jt_q, 0.138909,0.0622813,-0.103666,-0.950203,jd
2,201.392,-4.75973,464.843,161.458,47.6668,451.419,67.257,jt_x, jt_y, jt_z, jt_q, -0.589766,0.100156,0.415762,-1.08989,jd
2,216.675,11.1236,484.255,161.458,47.6668,451.419,73.9092,jt_x, jt_y, jt_z, jt_q, -0.589766,0.100156,0.415762,-1.08989,jd
2,230.154,23.2034,497.857,197.31,90.2057,454.961,86.0698,jt_x, jt_y, jt_z, jt_q, -0.123369,0.442064,0.155605,-0.945556,jd
2,246.809,31.9911,508.184,197.31,90.2057,454.961,93.1217,jt_x, jt_y, jt_z, jt_q, -0.123369,0.442064,0.155605,-0.945556,jd
2,237.591,77.049,515.549,197.31,90.2057,454.961,73.9357,jt_x, jt_y, jt_z, jt_q, -0.123369,0.442064,0.155605,-0.945556,jd
2,224.899,97.2044,521.122,197.31,90.2057,454.961,72.0229,jt_x, jt_y, jt_z, jt_q, -0.123369,0.442064,0.155605,-0.945556,jd
2,217.305,98.8828,497.438,197.31,90.2057,454.961,47.7423,jt_x, jt_y, jt_z, jt_q, -0.123369,0.442064,0.155605,-0.945556,jd
2,238.423,98.3963,512.13,197.31,90.2057,454.961,70.8911,jt_x, jt_y, jt_z, jt_q, -0.123369,0.442064,0.155605,-0.945556,jd
2,232.295,109.525,527.024,197.31,90.2057,454.961,82.4021,jt_x, jt_y, jt_z, jt_q, -0.123369,0.442064,0.155605,-0.945556,jd
2,226.687,112.433,507.043,197.31,90.2057,454.961,63.793,jt_x, jt_y, jt_z, jt_q, -0.123369,0.442064,0.155605,-0.945556,jd
2,247.857,90.7871,508.893,243.881,102.221,440.317,69.6363,jt_x, jt_y, jt_z, jt_q, -0.0437389,0.057694,-0.200433,-0.318536,jd
2,223.921,104.829,520.782,197.31,90.2057,454.961,72.4871,jt_x, jt_y, jt_z, jt_q, -0.123369,0.442064,0.155605,-0.945556,jd
2,230.905,103.645,517.701,197.31,90.2057,454.961,72.4253,jt_x, jt_y, jt_z, jt_q, -0.123369,0.442064,0.155605,-0.945556,jd
2,240.836,97.8183,513.32,243.881,102.221,440.317,73.199,jt_x, jt_y, jt_z, jt_q, -0.0437389,0.057694,-0.200433,-0.318536,jd
2,272.513,58.2035,499.632,243.881,102.221,440.317,79.2188,jt_x, jt_y, jt_z, jt_q, -0.0437389,0.057694,-0.200433,-0.318536,jd
2,285.614,38.4976,497.862,243.881,102.221,440.317,95.466,jt_x, jt_y, jt_z, jt_q, -0.0437389,0.057694,-0.200433,-0.318536,jd
2,287.753,-1.73331,480.603,212.78,58.9148,412.067,118.306,jt_x, jt_y, jt_z, jt_q, 0.141607,0.0363805,-0.178402,-0.528786,jd
2,281.959,-44.4779,473.462,212.78,58.9148,412.067,138.727,jt_x, jt_y, jt_z, jt_q, 0.141607,0.0363805,-0.178402,-0.528786,jd
2,255.01,-52.88,454.867,212.78,58.9148,412.067,126.938,jt_x, jt_y, jt_z, jt_q, 0.141607,0.0363805,-0.178402,-0.528786,jd
2,257.373,-78.6046,427.441,170.958,29.5447,403.887,140.423,jt_x, jt_y, jt_z, jt_q, 0.138909,0.0622813,-0.103666,-0.950203,jd
2,228.165,-97.3046,413.647,170.958,29.5447,403.887,139.494,jt_x, jt_y, jt_z, jt_q, 0.138909,0.0622813,-0.103666,-0.950203,jd
2,201.89,-106.488,393.824,170.958,29.5447,403.887,139.867,jt_x, jt_y, jt_z, jt_q, 0.138909,0.0622813,-0.103666,-0.950203,jd
2,194.957,-118.975,370.827,144.853,22.6827,355.099,151.078,jt_x, jt_y, jt_z, jt_q, 0.443016,0.038185,-0.0748733,-1.08957,jd
2,176.829,-114.674,326.489,144.853,22.6827,355.099,143.902,jt_x, jt_y, jt_z, jt_q, 0.443016,0.038185,-0.0748733,-1.08957,jd
2,165.025,-106.322,301.288,132.391,24.5012,324.356,136.791,jt_x, jt_y, jt_z, jt_q, 0.443016,0.038185,-0.0748733,-1.08957,jd
2,159.39,-102.156,272.508,132.391,24.5012,324.356,139.496,jt_x, jt_y, jt_z, jt_q, 0.443016,0.038185,-0.0748733,-1.08957,jd
2,149.27,-92.2871,246.68,129.937,35.458,268.709,131.064,jt_x, jt_y, jt_z, jt_q, 0.684382,0.0874256,0.0506532,-0.887262,jd
2,140.381,-78.4675,213.222,113.422,34.584,264.321,126.959,jt_x, jt_y, jt_z, jt_q, 0.728138,0.0585398,0.222558,-0.883818,jd
2,139.329,-61.3336,196.016,120.317,49.0033,240.076,120.32,jt_x, jt_y, jt_z, jt_q, 0.728138,0.0585398,0.222558,-0.883818,jd
2,135.415,-41.3034,192.883,120.317,49.0033,240.076,103.007,jt_x, jt_y, jt_z, jt_q, 0.728138,0.0585398,0.222558,-0.883818,jd
2,129.125,-13.1412,189.368,120.317,49.0033,240.076,80.6895,jt_x, jt_y, jt_z, jt_q, 0.728138,0.0585398,0.222558,-0.883818,jd
2,128.887,-15.211,226.932,113.422,34.584,264.321,64.161,jt_x, jt_y, jt_z, jt_q, 0.728138,0.0585398,0.222558,-0.883818,jd
2,136.601,-19.8315,272.35,129.937,35.458,268.709,55.8086,jt_x, jt_y, jt_z, jt_q, 0.684382,0.0874256,0.0506532,-0.887262,jd
2,153.311,-27.5325,304.699,132.391,24.5012,324.356,59.4266,jt_x, jt_y, jt_z, jt_q, 0.443016,0.038185,-0.0748733,-1.08957,jd
2,165.901,-27.9477,335.96,144.853,22.6827,355.099,58.0754,jt_x, jt_y, jt_z, jt_q, 0.443016,0.038185,-0.0748733,-1.08957,jd
2,176.865,-28.131,375.036,168.626,31.1054,359.832,61.7088,jt_x, jt_y, jt_z, jt_q, 0.138909,0.0622813,-0.103666,-0.950203,jd
2,205.283,-26.6777,409.678,170.958,29.5447,403.887,66.1265,jt_x, jt_y, jt_z, jt_q, 0.138909,0.0622813,-0.103666,-0.950203,jd
2,214.508,0.739816,443.791,170.958,29.5447,403.887,65.7168,jt_x, jt_y, jt_z, jt_q, 0.138909,0.0622813,-0.103666,-0.950203,jd
2,219.528,42.3741,460.985,212.78,58.9148,412.067,52.0778,jt_x, jt_y, jt_z, jt_q, 0.141607,0.0363805,-0.178402,-0.528786,jd
2,230.513,75.3031,462.516,197.31,90.2057,454.961,37.1693,jt_x, jt_y, jt_z, jt_q, -0.123369,0.442064,0.155605,-0.945556,jd
2,246.851,109.975,471.216,243.881,102.221,440.317,31.995,jt_x, jt_y, jt_z, jt_q, -0.0437389,0.057694,-0.200433,-0.318536,jd
2,244.092,140.997,472.998,266.233,145.512,438.901,40.9047,jt_x, jt_y, jt_z, jt_q, -0.251618,0.168258,-0.00687387,-0.157086,jd
2,248.116,164.99,490.128,246.084,186.761,445.528,49.6719,jt_x, jt_y, jt_z, jt_q, -0.17145,0.420853,0.0312159,-0.24411,jd
2,257.863,170.175,513.09,246.084,186.761,445.528,70.5578,jt_x, jt_y, jt_z, jt_q, -0.17145,0.420853,0.0312159,-0.24411,jd
2,265.89,169.723,515.928,246.084,186.761,445.528,75.0912,jt_x, jt_y, jt_z, jt_q, -0.17145,0.420853,0.0312159,-0.24411,jd
2,275.489,157.656,489.803,266.233,145.512,438.901,53.1435,jt_x, jt_y, jt_z, jt_q, -0.251618,0.168258,-0.00687387,-0.157086,jd
2,292.864,150.882,505.12,266.233,145.512,438.901,71.5755,jt_x, jt_y, jt_z, jt_q, -0.251618,0.168258,-0.00687387,-0.157086,jd
2,306.176,147.085,518.822,266.233,145.512,438.901,89.361,jt_x, jt_y, jt_z, jt_q, -0.251618,0.168258,-0.00687387,-0.157086,jd
2,319.907,149.662,514.726,266.233,145.512,438.901,92.9925,jt_x, jt_y, jt_z, jt_q, -0.251618,0.168258,-0.00687387,-0.157086,jd
2,330.398,147.083,524.79,266.233,145.512,438.901,107.222,jt_x, jt_y, jt_z, jt_q, -0.251618,0.168258,-0.00687387,-0.157086,jd
2,331.06,142.742,529.284,266.233,145.512,438.901,111.263,jt_x, jt_y, jt_z, jt_q, -0.251618,0.168258,-0.00687387,-0.157086,jd
2,332.176,139.083,528.081,266.233,145.512,438.901,111.099,jt_x, jt_y, jt_z, jt_q, -0.251618,0.168258,-0.00687387,-0.157086,jd
2,337.375,142.051,491.243,266.233,145.512,438.901,88.3903,jt_x, jt_y, jt_z, jt_q, -0.251618,0.168258,-0.00687387,-0.157086,jd
2,327.378,135.96,497.677,266.233,145.512,438.901,85.35,jt_x, jt_y, jt_z, jt_q, -0.251618,0.168258,-0.00687387,-0.157086,jd
2,319.877,104.787,510.554,266.233,145.512,438.901,98.3383,jt_x, jt_y, jt_z, jt_q, -0.251618,0.168258,-0.00687387,-0.157086,jd
2,350.904,84.0417,512.24,266.233,145.512,438.901,127.775,jt_x, jt_y, jt_z, jt_q, -0.251618,0.168258,-0.00687387,-0.157086,jd
2,356.281,68.8912,510.96,243.881,102.221,440.317,136.876,jt_x, jt_y, jt_z, jt_q, -0.0437389,0.057694,-0.200433,-0.318536,jd
2,360.045,53.657,529.16,243.881,102.221,440.317,154.097,jt_x, jt_y, jt_z, jt_q, -0.0437389,0.057694,-0.200433,-0.318536,jd
2,335.34,34.5314,535.806,243.881,102.221,440.317,148.543,jt_x, jt_y, jt_z, jt_q, -0.0437389,0.057694,-0.200433,-0.318536,jd
2,320.883,15.0884,527.375,243.881,102.221,440.317,145.26,jt_x, jt_y, jt_z, jt_q, -0.0437389,0.057694,-0.200433,-0.318536,jd
2,308.006,-6.05752,516.501,243.881,102.221,440.317,147.106,jt_x, jt_y, jt_z, jt_q, -0.0437389,0.057694,-0.200433,-0.318536,jd
2,291.224,-27.9118,511.034,212.78,58.9148,412.067,153.254,jt_x, jt_y, jt_z, jt_q, 0.141607,0.0363805,-0.178402,-0.528786,jd
2,270.638,-53.4284,493.252,212.78,58.9148,412.067,150.198,jt_x, jt_y, jt_z, jt_q, 0.141607,0.0363805,-0.178402,-0.528786,jd
2,256.243,-56.4715,489.044,212.78,58.9148,412.067,145.356,jt_x, jt_y, jt_z, jt_q, 0.141607,0.0363805,-0.178402,-0.528786,jd
2,229.211,-58.6685,465.114,170.958,29.5447,403.887,122.162,jt_x, jt_y, jt_z, jt_q, 0.138909,0.0622813,-0.103666,-0.950203,jd
2,218.021,-60.9211,445.581,170.958,29.5447,403.887,110.17,jt_x, jt_y, jt_z, jt_q, 0.138909,0.0622813,-0.103666,-0.950203,jd
2,197.254,-52.7459,434.824,170.958,29.5447,403.887,91.762,jt_x, jt_y, jt_z, jt_q, 0.138909,0.0622813,-0.103666,-0.950203,jd
2,188.465,-46.8318,417.617,170.958,29.5447,403.887,79.5512,jt_x, jt_y, jt_z, jt_q, 0.138909,0.0622813,-0.103666,-0.950203,jd
2,167.594,-52.2207,388.896,170.958,29.5447,403.887,83.1963,jt_x, jt_y, jt_z, jt_q, 0.138909,0.0622813,-0.103666,-0.950203,jd
2,156.384,-56.0934,339.427,144.853,22.6827,355.099,81.1435,jt_x, jt_y, jt_z, jt_q, 0.443016,0.038185,-0.0748733,-1.08957,jd
2,147.412,-50.0482,271.727,129.937,35.458,268.709,87.3259,jt_x, jt_y, jt_z, jt_q, 0.684382,0.0874256,0.0506532,-0.887262,jd
2,131.029,-32.8377,248.722,129.937,35.458,268.709,71.1684,jt_x, jt_y, jt_z, jt_q, 0.684382,0.0874256,0.0506532,-0.887262,jd
2,126.418,-24.4495,233.579,113.422,34.584,264.321,67.8156,jt_x, jt_y, jt_z, jt_q, 0.728138,0.0585398,0.222558,-0.883818,jd
2,130.299,-11.3114,197.869,120.317,49.0033,240.076,74.2897,jt_x, jt_y, jt_z, jt_q, 0.728138,0.0585398,0.222558,-0.883818,jd
2,126.778,-5.51938,189.656,120.317,49.0033,240.076,74.5427,jt_x, jt_y, jt_z, jt_q, 0.728138,0.0585398,0.222558,-0.883818,jd
2,122.709,-26.4993,194.037,120.317,49.0033,240.076,88.4644,jt_x, jt_y, jt_z, jt_q, 0.728138,0.0585398,0.222558,-0.883818,jd
2,119.381,-45.5404,196.326,120.317,49.0033,240.076,104.18,jt_x, jt_y, jt_z, jt_q, 0.728138,0.0585398,0.222558,-0.883818,jd
2,117.566,-75.5458,223.376,113.422,34.584,264.321,117.568,jt_x, jt_y, jt_z, jt_q, 0.728138,0.0585398,0.222558,-0.883818,jd
2,116.069,-93.1966,255.797,113.422,34.584,264.321,128.092,jt_x, jt_y, jt_z, jt_q, 0.728138,0.0585398,0.222558,-0.883818,jd
2,119.525,-113.494,292.809,132.391,24.5012,324.356,142.139,jt_x, jt_y, jt_z, jt_q, 0.443016,0.038185,-0.0748733,-1.08957,jd
2,122.412,-120.895,311.08,118.997,18.9215,352.981,146,jt_x, jt_y, jt_z, jt_q, 0.59372,0.072503,-0.126534,-1.3488,jd
2,122.002,-120.802,348.56,118.997,18.9215,352.981,139.825,jt_x, jt_y, jt_z, jt_q, 0.59372,0.072503,-0.126534,-1.3488,jd
2,126.959,-128.752,380.997,118.997,18.9215,352.981,150.518,jt_x, jt_y, jt_z, jt_q, 0.59372,0.072503,-0.126534,-1.3488,jd
2,123.703,-131.85,413.566,130.964,23.5548,379.27,159.309,jt_x, jt_y, jt_z, jt_q, 0.199594,0.152052,-0.164607,-1.30464,jd
2,147.224,-112.346,446.995,134.81,32.5276,445.347,145.414,jt_x, jt_y, jt_z, jt_q, -0.419943,0.0635559,0.0743149,-1.24297,jd
2,154.993,-113.19,447.969,150.417,30.1909,415.405,147.103,jt_x, jt_y, jt_z, jt_q, 0.206925,0.0563441,-0.309592,-1.09656,jd
2,150.507,-101.822,473.306,134.81,32.5276,445.347,138.122,jt_x, jt_y, jt_z, jt_q, -0.419943,0.0635559,0.0743149,-1.24297,jd
2,160.911,-75.7085,486.877,134.81,32.5276,445.347,118.832,jt_x, jt_y, jt_z, jt_q, -0.419943,0.0635559,0.0743149,-1.24297,jd
2,177.085,-79.61,469.743,134.81,32.5276,445.347,122.3,jt_x, jt_y, jt_z, jt_q, -0.419943,0.0635559,0.0743149,-1.24297,jd
2,175.173,-94.0016,461.017,134.81,32.5276,445.347,133.732,jt_x, jt_y, jt_z, jt_q, -0.419943,0.0635559,0.0743149,-1.24297,jd
2,126.537,-67.931,469.683,134.81,32.5276,445.347,103.695,jt_x, jt_y, jt_z, jt_q, -0.419943,0.0635559,0.0743149,-1.24297,jd
2,133.494,-51.5615,462.508,134.81,32.5276,445.347,85.8325,jt_x, jt_y, jt_z, jt_q, -0.419943,0.0635559,0.0743149,-1.24297,jd
2,156.16,-55.2398,453.128,134.81,32.5276,445.347,90.6614,jt_x, jt_y, jt_z, jt_q, -0.419943,0.0635559,0.0743149,-1.24297,jd
2,159.629,-61.5452,451.786,134.81,32.5276,445.347,97.5045,jt_x, jt_y, jt_z, jt_q, -0.419943,0.0635559,0.0743149,-1.24297,jd
2,157.272,-63.5519,424.037,150.417,30.1909,415.405,94.3886,jt_x, jt_y, jt_z, jt_q, 0.206925,0.0563441,-0.309592,-1.09656,jd
2,153.498,-59.2906,392.227,130.964,23.5548,379.27,86.8275,jt_x, jt_y, jt_z, jt_q, 0.199594,0.152052,-0.164607,-1.30464,jd
