pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
2,434.456,-17.7031,215.88,227.32,97.6399,301.35,252.021,jt_x, jt_y, jt_z, jt_q, 0.241607,0.0800715,0.0470992,-0.267498,jd
2,377.042,-40.6138,252.147,227.32,97.6399,301.35,209.647,jt_x, jt_y, jt_z, jt_q, 0.241607,0.0800715,0.0470992,-0.267498,jd
2,367.128,-33.3022,264.076,227.32,97.6399,301.35,195.145,jt_x, jt_y, jt_z, jt_q, 0.241607,0.0800715,0.0470992,-0.267498,jd
2,319.984,-2.42674,293.273,227.32,97.6399,301.35,136.621,jt_x, jt_y, jt_z, jt_q, 0.241607,0.0800715,0.0470992,-0.267498,jd
2,278.644,-5.35811,317.305,200.64,61.6307,345.002,106.486,jt_x, jt_y, jt_z, jt_q, 0.264463,0.084593,-0.096402,-0.530699,jd
2,251.727,-26.4235,335.442,200.64,61.6307,345.002,102.249,jt_x, jt_y, jt_z, jt_q, 0.264463,0.084593,-0.096402,-0.530699,jd
2,230.17,-59.376,340.646,168.164,35.9114,382.151,121.025,jt_x, jt_y, jt_z, jt_q, -0.121494,0.204281,0.155418,-1.1985,jd
2,211.508,-79.5887,345.362,168.164,35.9114,382.151,128.734,jt_x, jt_y, jt_z, jt_q, -0.121494,0.204281,0.155418,-1.1985,jd
2,185.862,-85.0745,367.476,168.164,35.9114,382.151,123.151,jt_x, jt_y, jt_z, jt_q, -0.121494,0.204281,0.155418,-1.1985,jd
2,182.633,-93.1114,389.768,168.164,35.9114,382.151,130.055,jt_x, jt_y, jt_z, jt_q, -0.121494,0.204281,0.155418,-1.1985,jd
2,179.726,-80.9813,412.849,168.164,35.9114,382.151,121.408,jt_x, jt_y, jt_z, jt_q, -0.121494,0.204281,0.155418,-1.1985,jd
2,179.072,-57.5738,442.866,168.164,35.9114,382.151,112.003,jt_x, jt_y, jt_z, jt_q, -0.121494,0.204281,0.155418,-1.1985,jd
2,196.039,-28.3635,450.652,168.164,35.9114,382.151,97.9832,jt_x, jt_y, jt_z, jt_q, -0.121494,0.204281,0.155418,-1.1985,jd
2,201.392,-4.75973,464.843,168.164,35.9114,382.151,97.96,jt_x, jt_y, jt_z, jt_q, -0.121494,0.204281,0.155418,-1.1985,jd
2,216.675,11.1236,484.255,199.235,79.5982,392.796,115.575,jt_x, jt_y, jt_z, jt_q, 0.264463,0.084593,-0.096402,-0.530699,jd
