pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
2,434.456,-17.7031,215.88,223.885,99.765,292.112,252.883,jt_x, jt_y, jt_z, jt_q, 0.67615,0.0467975,-0.250358,-0.231219,jd
2,377.042,-40.6138,252.147,223.477,71.6285,326.394,204.189,jt_x, jt_y, jt_z, jt_q, 0.338026,0.0333538,0.183856,-0.399155,jd
2,367.128,-33.3022,264.076,223.477,71.6285,326.394,188.493,jt_x, jt_y, jt_z, jt_q, 0.338026,0.0333538,0.183856,-0.399155,jd
2,319.984,-2.42674,293.273,223.477,71.6285,326.394,126.075,jt_x, jt_y, jt_z, jt_q, 0.338026,0.0333538,0.183856,-0.399155,jd
2,278.644,-5.35811,317.305,217.652,62.402,342.138,94.4892,jt_x, jt_y, jt_z, jt_q, 0.384043,0.0486256,0.0699749,-0.50659,jd
2,251.727,-26.4235,335.442,198.379,48.9194,332.191,92.3749,jt_x, jt_y, jt_z, jt_q, 0.187202,0.0501338,0.207795,-0.67563,jd
2,230.17,-59.376,340.646,183.478,37.0366,350.233,107.552,jt_x, jt_y, jt_z, jt_q, 0.187202,0.0501338,0.207795,-0.67563,jd
2,211.508,-79.5887,345.362,183.478,37.0366,350.233,120.045,jt_x, jt_y, jt_z, jt_q, 0.187202,0.0501338,0.207795,-0.67563,jd
2,185.862,-85.0745,367.476,169.812,31.5779,383.439,118.828,jt_x, jt_y, jt_z, jt_q, 0.0691116,0.113837,0.00656799,-1.07095,jd
2,182.633,-93.1114,389.768,169.812,31.5779,383.439,125.506,jt_x, jt_y, jt_z, jt_q, 0.0691116,0.113837,0.00656799,-1.07095,jd
2,179.726,-80.9813,412.849,130.688,22.0421,421.304,114.411,jt_x, jt_y, jt_z, jt_q, -0.205668,0.0960774,0.150108,-1.24391,jd
2,179.072,-57.5738,442.866,130.688,22.0421,421.304,95.6273,jt_x, jt_y, jt_z, jt_q, -0.205668,0.0960774,0.150108,-1.24391,jd
2,196.039,-28.3635,450.652,151.101,38.6554,423.549,85.1206,jt_x, jt_y, jt_z, jt_q, -0.659124,0.148363,0.37929,-1.07529,jd
2,201.392,-4.75973,464.843,151.101,38.6554,423.549,78.2253,jt_x, jt_y, jt_z, jt_q, -0.659124,0.148363,0.37929,-1.07529,jd
2,216.675,11.1236,484.255,220.516,76.7003,418.6,92.8742,jt_x, jt_y, jt_z, jt_q, 0.143182,0.0590915,-0.275404,-0.427397,jd
2,230.154,23.2034,497.857,220.516,76.7003,418.6,96.1065,jt_x, jt_y, jt_z, jt_q, 0.143182,0.0590915,-0.275404,-0.427397,jd
2,246.809,31.9911,508.184,220.516,76.7003,418.6,103.516,jt_x, jt_y, jt_z, jt_q, 0.143182,0.0590915,-0.275404,-0.427397,jd
2,237.591,77.049,515.549,233.547,132.839,447.379,88.1823,jt_x, jt_y, jt_z, jt_q, -0.049986,0.12749,-0.0415424,-0.163894,jd
2,224.899,97.2044,521.122,233.547,132.839,447.379,82.3571,jt_x, jt_y, jt_z, jt_q, -0.049986,0.12749,-0.0415424,-0.163894,jd
2,217.305,98.8828,497.438,233.547,132.839,447.379,62.632,jt_x, jt_y, jt_z, jt_q, -0.049986,0.12749,-0.0415424,-0.163894,jd
2,238.423,98.3963,512.13,233.547,132.839,447.379,73.5039,jt_x, jt_y, jt_z, jt_q, -0.049986,0.12749,-0.0415424,-0.163894,jd
2,232.295,109.525,527.024,233.547,132.839,447.379,82.9969,jt_x, jt_y, jt_z, jt_q, -0.049986,0.12749,-0.0415424,-0.163894,jd
2,226.687,112.433,507.043,233.547,132.839,447.379,63.4298,jt_x, jt_y, jt_z, jt_q, -0.049986,0.12749,-0.0415424,-0.163894,jd
2,247.857,90.7871,508.893,233.547,132.839,447.379,75.8761,jt_x, jt_y, jt_z, jt_q, -0.049986,0.12749,-0.0415424,-0.163894,jd
2,223.921,104.829,520.782,233.547,132.839,447.379,79.154,jt_x, jt_y, jt_z, jt_q, -0.049986,0.12749,-0.0415424,-0.163894,jd
2,230.905,103.645,517.701,233.547,132.839,447.379,76.1872,jt_x, jt_y, jt_z, jt_q, -0.049986,0.12749,-0.0415424,-0.163894,jd
2,240.836,97.8183,513.32,233.547,132.839,447.379,75.0192,jt_x, jt_y, jt_z, jt_q, -0.049986,0.12749,-0.0415424,-0.163894,jd
2,272.513,58.2035,499.632,220.516,76.7003,418.6,98.0414,jt_x, jt_y, jt_z, jt_q, 0.143182,0.0590915,-0.275404,-0.427397,jd
2,285.614,38.4976,497.862,220.516,76.7003,418.6,109.452,jt_x, jt_y, jt_z, jt_q, 0.143182,0.0590915,-0.275404,-0.427397,jd
2,287.753,-1.73331,480.603,220.516,76.7003,418.6,120.487,jt_x, jt_y, jt_z, jt_q, 0.143182,0.0590915,-0.275404,-0.427397,jd
2,281.959,-44.4779,473.462,220.516,76.7003,418.6,146.524,jt_x, jt_y, jt_z, jt_q, 0.143182,0.0590915,-0.275404,-0.427397,jd
