pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
2,268.16,-7.39955,328.09,161.682,53.2108,357.247,125.941,jt_x, jt_y, jt_z, jt_q, 0.309214,0.0511977,-0.0167819,-0.297083,jd
2,271.825,-16.77,338.992,161.682,53.2108,357.247,131.765,jt_x, jt_y, jt_z, jt_q, 0.309214,0.0511977,-0.0167819,-0.297083,jd
2,266.294,-17.659,358.681,161.682,53.2108,357.247,126.365,jt_x, jt_y, jt_z, jt_q, 0.309214,0.0511977,-0.0167819,-0.297083,jd
2,258.296,-18.5297,369.756,161.682,53.2108,357.247,120.985,jt_x, jt_y, jt_z, jt_q, 0.309214,0.0511977,-0.0167819,-0.297083,jd
2,228.885,-34.9421,385.811,145.738,33.2931,379.006,107.777,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
2,218.761,-61.4081,406.791,145.738,33.2931,379.006,122.771,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
2,205.13,-79.3212,416.158,140.935,35.6089,411.441,131.728,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
2,187.538,-87.1164,419.527,113.289,17.5436,395.946,130.471,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
2,174.279,-93.6735,420.411,113.289,17.5436,395.946,129.181,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
2,169.315,-91.2516,420.956,113.289,17.5436,395.946,124.903,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
2,159.624,-92.1015,425.292,113.289,17.5436,395.946,122.598,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
2,150.792,-98.0122,441.939,129.827,29.5929,430.699,129.804,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
