pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
2,268.16,-7.39955,328.09,144.93,19.6299,364.211,131.229,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,271.825,-16.77,338.992,144.93,19.6299,364.211,134.4,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,266.294,-17.659,358.681,144.93,19.6299,364.211,127.084,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,258.296,-18.5297,369.756,144.93,19.6299,364.211,119.745,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,228.885,-34.9421,385.811,144.93,19.6299,364.211,102.436,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,218.761,-61.4081,406.791,144.93,19.6299,364.211,117.606,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,205.13,-79.3212,416.158,144.93,19.6299,364.211,126.941,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,187.538,-87.1164,419.527,144.93,19.6299,364.211,127.554,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,174.279,-93.6735,420.411,144.93,19.6299,364.211,129.837,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,169.315,-91.2516,420.956,144.93,19.6299,364.211,126.923,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,159.624,-92.1015,425.292,144.93,19.6299,364.211,128.182,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,150.792,-98.0122,441.939,144.93,19.6299,364.211,141.123,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
2,142.335,-92.4814,455.529,89.841,21.5685,391.937,140.737,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
2,131.278,-86.4072,468.864,133.571,46.101,495.042,135.089,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
2,121.472,-90.1643,471.219,92.4177,38.6202,508.987,137.317,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
2,110.08,-89.5882,478.915,92.4177,38.6202,508.987,132.867,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
2,97.6072,-80.3662,473.805,92.4177,38.6202,508.987,124.187,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
2,99.9245,-85.9388,463.723,89.841,21.5685,391.937,129.664,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
2,100.58,-94.5589,455.018,89.841,21.5685,391.937,132.59,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
2,105.403,-101.118,440.975,89.841,21.5685,391.937,133.037,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
2,109.264,-101.899,433.769,89.841,21.5685,391.937,131.801,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
2,109.79,-103.756,422.334,89.841,21.5685,391.937,130.492,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
2,106.855,-112.107,428.565,89.841,21.5685,391.937,139.643,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
2,101.103,-119.332,429.503,89.841,21.5685,391.937,146.257,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
2,98.2294,-121.443,422.153,89.841,21.5685,391.937,146.41,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
2,102.516,-120.031,415.405,89.841,21.5685,391.937,144.09,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
2,108.656,-114.339,406.816,89.841,21.5685,391.937,138.008,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
