pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
2,268.16,-7.39955,328.09,165.531,59.4341,359.268,126.378,jt_x, jt_y, jt_z, jt_q, 0.329509,0.0526129,-0.111438,-0.176696,jd
2,271.825,-16.77,338.992,165.531,59.4341,359.268,132.35,jt_x, jt_y, jt_z, jt_q, 0.329509,0.0526129,-0.111438,-0.176696,jd
2,266.294,-17.659,358.681,165.531,59.4341,359.268,126.873,jt_x, jt_y, jt_z, jt_q, 0.329509,0.0526129,-0.111438,-0.176696,jd
2,258.296,-18.5297,369.756,165.531,59.4341,359.268,121.629,jt_x, jt_y, jt_z, jt_q, 0.329509,0.0526129,-0.111438,-0.176696,jd
2,228.885,-34.9421,385.811,153.239,44.6546,396.865,110.363,jt_x, jt_y, jt_z, jt_q, 0.213602,0.0162381,-0.521019,-0.486401,jd
2,218.761,-61.4081,406.791,141.051,32.9248,380.936,124.924,jt_x, jt_y, jt_z, jt_q, 0.213602,0.0162381,-0.521019,-0.486401,jd
2,205.13,-79.3212,416.158,141.051,32.9248,380.936,133.963,jt_x, jt_y, jt_z, jt_q, 0.213602,0.0162381,-0.521019,-0.486401,jd
2,187.538,-87.1164,419.527,112.366,17.7586,411.068,129.31,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
2,174.279,-93.6735,420.411,112.366,17.7586,411.068,127.819,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
2,169.315,-91.2516,420.956,112.366,17.7586,411.068,123.386,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
2,159.624,-92.1015,425.292,112.366,17.7586,411.068,120.436,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
2,150.792,-98.0122,441.939,112.366,17.7586,411.068,125.827,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
2,142.335,-92.4814,455.529,112.366,17.7586,411.068,122.588,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
