pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
0,258.221,-23.4121,346.799,161.682,53.2108,357.247,123.693,jt_x, jt_y, jt_z, jt_q, 0.309214,0.0511977,-0.0167819,-0.297083,jd
0,198.773,-24.9939,362.678,145.738,33.2931,379.006,80.4778,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
0,167.263,-51.5135,386.621,145.738,33.2931,379.006,87.8265,jt_x, jt_y, jt_z, jt_q, 0.10303,0.0855985,-0.385118,-0.646976,jd
0,162.791,-60.4124,392.416,113.289,17.5436,395.946,92.4124,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,163.149,-67.2949,401.359,113.289,17.5436,395.946,98.5541,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,164.801,-74.6913,419.951,113.289,17.5436,395.946,108.338,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,157.431,-76.2693,442.333,129.827,29.5929,430.699,110.019,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,147.524,-85.0426,444.393,129.827,29.5929,430.699,116.799,jt_x, jt_y, jt_z, jt_q, -0.173706,0.137611,-0.249748,-0.805706,jd
0,134.714,-91.5312,440.758,113.289,17.5436,395.946,119.852,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,131.843,-90.2791,432.841,113.289,17.5436,395.946,115.461,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,131.412,-92.0499,421.551,113.289,17.5436,395.946,113.995,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,140.861,-87.6611,416.975,113.289,17.5436,395.946,110.772,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,149.159,-87.7901,401.277,113.289,17.5436,395.946,111.402,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,158.373,-80.6041,385.788,113.289,17.5436,395.946,108.484,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,139.295,-95.3981,371.785,113.289,17.5436,395.946,118.389,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,134.921,-87.1391,363.813,113.289,17.5436,395.946,111.62,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,124.711,-77.8111,354.759,113.289,17.5436,395.946,104.496,jt_x, jt_y, jt_z, jt_q, 0.166748,0.0450783,-0.295728,-0.929769,jd
0,110.812,-65.0162,343.964,112.505,26.0213,348.46,91.1642,jt_x, jt_y, jt_z, jt_q, 0.171299,0.0151441,0.165208,-0.865166,jd
0,103.715,-57.3949,346.391,93.0287,23.4015,361.689,82.9234,jt_x, jt_y, jt_z, jt_q, 0.0194294,0.0152145,0.516289,-1.07201,jd
0,104.527,-39.9494,350.596,93.0287,23.4015,361.689,65.3347,jt_x, jt_y, jt_z, jt_q, 0.0194294,0.0152145,0.516289,-1.07201,jd
0,106.188,-42.2844,331.237,75.5977,20.6589,340.297,70.5671,jt_x, jt_y, jt_z, jt_q, 0.163334,0.0114266,0.653757,-1.2363,jd
0,107.44,-38.3145,325.851,112.505,26.0213,348.46,68.3808,jt_x, jt_y, jt_z, jt_q, 0.171299,0.0151441,0.165208,-0.865166,jd
0,107.234,-37.2014,320.875,83.6931,23.5085,308.14,66.3478,jt_x, jt_y, jt_z, jt_q, 0.877281,0.0317917,-0.398745,-0.792396,jd
0,107.418,-31.7125,312.605,83.6931,23.5085,308.14,60.2676,jt_x, jt_y, jt_z, jt_q, 0.877281,0.0317917,-0.398745,-0.792396,jd
0,107.107,-21.155,309.199,83.6931,23.5085,308.14,50.4398,jt_x, jt_y, jt_z, jt_q, 0.877281,0.0317917,-0.398745,-0.792396,jd
