pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
0,258.221,-23.4121,346.799,165.531,59.4341,359.268,124.941,jt_x, jt_y, jt_z, jt_q, 0.329509,0.0526129,-0.111438,-0.176696,jd
0,198.773,-24.9939,362.678,141.051,32.9248,380.936,83.7841,jt_x, jt_y, jt_z, jt_q, 0.213602,0.0162381,-0.521019,-0.486401,jd
0,167.263,-51.5135,386.621,141.051,32.9248,380.936,88.596,jt_x, jt_y, jt_z, jt_q, 0.213602,0.0162381,-0.521019,-0.486401,jd
0,162.791,-60.4124,392.416,112.366,17.7586,411.068,94.875,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
0,163.149,-67.2949,401.359,112.366,17.7586,411.068,99.5353,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
0,164.801,-74.6913,419.951,112.366,17.7586,411.068,106.655,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
0,157.431,-76.2693,442.333,112.366,17.7586,411.068,108.856,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
0,147.524,-85.0426,444.393,112.366,17.7586,411.068,113.643,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
0,134.714,-91.5312,440.758,112.366,17.7586,411.068,115.435,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
0,131.843,-90.2791,432.841,112.366,17.7586,411.068,111.918,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
0,131.412,-92.0499,421.551,112.366,17.7586,411.068,111.94,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
0,140.861,-87.6611,416.975,112.366,17.7586,411.068,109.363,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
0,149.159,-87.7901,401.277,112.366,17.7586,411.068,112.206,jt_x, jt_y, jt_z, jt_q, 0.0167295,0.0468663,-0.434612,-0.973388,jd
