pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
2,284.818,-11.8949,335.723,160.225,65.7528,357.651,148.437,jt_x, jt_y, jt_z, jt_q, 0.488767,0.0715791,0.0547137,-0.255079,jd
2,245.374,-11.9716,362.472,148.394,34.9707,384.069,109.887,jt_x, jt_y, jt_z, jt_q, 0.283096,0.0339591,-0.314068,-0.492877,jd
2,230.645,-4.23515,366.326,148.394,34.9707,384.069,92.829,jt_x, jt_y, jt_z, jt_q, 0.283096,0.0339591,-0.314068,-0.492877,jd
2,221.166,3.65242,391.48,159.584,48.9888,411.372,79.0152,jt_x, jt_y, jt_z, jt_q, 0.235056,0.0798896,-0.62056,-0.507061,jd
2,185.72,-24.842,404.9,148.394,34.9707,384.069,73.5172,jt_x, jt_y, jt_z, jt_q, 0.283096,0.0339591,-0.314068,-0.492877,jd
2,174.01,-30.5033,409.301,140.463,32.5126,413.814,71.5314,jt_x, jt_y, jt_z, jt_q, 0.00605912,0.0560065,-0.324813,-0.686944,jd
2,162.319,-44.4074,440.517,124.32,22.4701,429.826,77.6583,jt_x, jt_y, jt_z, jt_q, 0.212986,0.0214824,-0.212878,-0.939972,jd
2,157.268,-49.9323,446.659,124.32,22.4701,429.826,81.3083,jt_x, jt_y, jt_z, jt_q, 0.212986,0.0214824,-0.212878,-0.939972,jd
2,153.043,-57.4495,427.597,124.32,22.4701,429.826,84.9537,jt_x, jt_y, jt_z, jt_q, 0.212986,0.0214824,-0.212878,-0.939972,jd
2,154.037,-33.3825,413.727,124.32,22.4701,429.826,65.2826,jt_x, jt_y, jt_z, jt_q, 0.212986,0.0214824,-0.212878,-0.939972,jd
2,177.374,-37.4923,405.698,140.463,32.5126,413.814,79.5549,jt_x, jt_y, jt_z, jt_q, 0.00605912,0.0560065,-0.324813,-0.686944,jd
2,172.459,-38.5365,401.322,140.463,32.5126,413.814,78.9159,jt_x, jt_y, jt_z, jt_q, 0.00605912,0.0560065,-0.324813,-0.686944,jd
2,172.338,-36.5747,404.107,140.463,32.5126,413.814,76.7027,jt_x, jt_y, jt_z, jt_q, 0.00605912,0.0560065,-0.324813,-0.686944,jd
2,155.05,-22.6636,386.342,148.394,34.9707,384.069,58.0619,jt_x, jt_y, jt_z, jt_q, 0.283096,0.0339591,-0.314068,-0.492877,jd
2,166.202,-20.6123,419.962,140.463,32.5126,413.814,59.3511,jt_x, jt_y, jt_z, jt_q, 0.00605912,0.0560065,-0.324813,-0.686944,jd
2,163.065,-18.5194,439.395,124.32,22.4701,429.826,57.2096,jt_x, jt_y, jt_z, jt_q, 0.212986,0.0214824,-0.212878,-0.939972,jd
2,166.182,-17.0677,464.219,127.307,35.4866,469.444,65.5784,jt_x, jt_y, jt_z, jt_q, -0.237964,0.167529,-0.305123,-0.829787,jd
2,158.077,-1.60242,485.171,151.988,47.0636,495.488,50.1187,jt_x, jt_y, jt_z, jt_q, -0.492768,0.0187568,-0.0832055,-0.342696,jd
2,160.585,20.0487,503.046,151.988,47.0636,495.488,29.3398,jt_x, jt_y, jt_z, jt_q, -0.492768,0.0187568,-0.0832055,-0.342696,jd
2,170.857,24.0715,500.991,151.988,47.0636,495.488,30.2481,jt_x, jt_y, jt_z, jt_q, -0.492768,0.0187568,-0.0832055,-0.342696,jd
2,180.052,19.104,452.725,164.97,53.6403,455.469,37.7854,jt_x, jt_y, jt_z, jt_q, -0.492768,0.0187568,-0.0832055,-0.342696,jd
2,196.067,16.3442,444.816,154.646,41.6473,434.708,49.5789,jt_x, jt_y, jt_z, jt_q, 0.00605912,0.0560065,-0.324813,-0.686944,jd
2,195.07,17.4775,444.369,154.646,41.6473,434.708,48.0788,jt_x, jt_y, jt_z, jt_q, 0.00605912,0.0560065,-0.324813,-0.686944,jd
2,185.385,12.8447,422.557,154.646,41.6473,434.708,43.8415,jt_x, jt_y, jt_z, jt_q, 0.00605912,0.0560065,-0.324813,-0.686944,jd
