pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
0,258.221,-23.4121,346.799,144.93,19.6299,364.211,122.436,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,198.773,-24.9939,362.678,144.93,19.6299,364.211,69.9478,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,167.263,-51.5135,386.621,144.93,19.6299,364.211,77.8612,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,162.791,-60.4124,392.416,144.93,19.6299,364.211,86.7256,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,163.149,-67.2949,401.359,144.93,19.6299,364.211,96.2697,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,164.801,-74.6913,419.951,144.93,19.6299,364.211,111.348,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,157.431,-76.2693,442.333,144.93,19.6299,364.211,124.322,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,147.524,-85.0426,444.393,144.93,19.6299,364.211,131.88,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,134.714,-91.5312,440.758,89.841,21.5685,391.937,131.105,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
0,131.843,-90.2791,432.841,89.841,21.5685,391.937,126.282,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
0,131.412,-92.0499,421.551,89.841,21.5685,391.937,124.556,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
0,140.861,-87.6611,416.975,144.93,19.6299,364.211,119.632,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,149.159,-87.7901,401.277,144.93,19.6299,364.211,113.714,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,158.373,-80.6041,385.788,144.93,19.6299,364.211,103.408,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,139.295,-95.3981,371.785,144.93,19.6299,364.211,115.415,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,134.921,-87.1391,363.813,144.93,19.6299,364.211,107.238,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,124.711,-77.8111,354.759,144.93,19.6299,364.211,99.9645,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,110.812,-65.0162,343.964,144.93,19.6299,364.211,93.4823,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,103.715,-57.3949,346.391,144.93,19.6299,364.211,89.1571,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,104.527,-39.9494,350.596,144.93,19.6299,364.211,73.2627,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,106.188,-42.2844,331.237,89.374,17.5436,299.547,69.759,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
0,107.44,-38.3145,325.851,89.374,17.5436,299.547,64.3301,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
0,107.234,-37.2014,320.875,89.374,17.5436,299.547,61.4075,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
0,107.418,-31.7125,312.605,89.374,17.5436,299.547,54.0581,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
0,107.107,-21.155,309.199,89.374,17.5436,299.547,43.6486,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
0,106.782,-6.92304,308.925,89.374,17.5436,299.547,31.458,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
0,108.018,4.17185,305.27,89.374,17.5436,299.547,23.6463,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
0,120.108,11.5102,310.591,89.374,17.5436,299.547,33.2105,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
0,130.277,8.79701,334.104,144.93,19.6299,364.211,35.1925,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,133.948,12.4507,323.713,144.93,19.6299,364.211,42.5702,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,132.546,19.664,313.297,136.986,55.2227,285.735,45.2088,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,124.753,22.7901,302.257,89.374,17.5436,299.547,35.8689,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
0,165.295,4.95749,293.168,136.986,55.2227,285.735,58.1657,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,158.865,-36.7952,313.923,144.93,19.6299,364.211,76.8563,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,159.314,-31.4312,314.235,144.93,19.6299,364.211,72.8816,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,154.709,-34.7972,308.34,144.93,19.6299,364.211,78.61,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,171.721,-36.5346,336.837,144.93,19.6299,364.211,67.9824,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,175.119,-50.3714,366.027,144.93,19.6299,364.211,76.2552,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,167.022,-67.1545,391.123,144.93,19.6299,364.211,93.5086,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,150.981,-74.1819,402.636,144.93,19.6299,364.211,101.557,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,142.286,-75.5846,419.338,144.93,19.6299,364.211,110.054,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,135.951,-82.6023,434.697,89.841,21.5685,391.937,121.68,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
0,132.178,-82.8898,435.533,89.841,21.5685,391.937,120.849,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
0,131.83,-88.5615,438.788,89.841,21.5685,391.937,126.833,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
0,124.51,-89.8155,450.57,89.841,21.5685,391.937,130.561,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
0,120.737,-87.1173,455.463,89.841,21.5685,391.937,129.625,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
0,109.915,-90.6132,460.688,89.841,21.5685,391.937,133.096,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
0,105.156,-92.529,465.696,89.841,21.5685,391.937,136.723,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
0,101.54,-91.4272,467.722,89.841,21.5685,391.937,136.559,jt_x, jt_y, jt_z, jt_q, 0.0372996,0.20932,-0.329839,-1.46497,jd
0,110.691,-70.3387,472.095,92.4177,38.6202,508.987,116.477,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
0,122.156,-53.4409,481.936,92.4177,38.6202,508.987,100.456,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
0,128.431,-41.5329,486.492,133.571,46.101,495.042,88.1998,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
0,137.434,-31.9403,488.331,133.571,46.101,495.042,78.4245,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
0,139.831,-18.3171,492.204,133.571,46.101,495.042,64.7837,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
0,146.342,-12.3766,493.397,133.571,46.101,495.042,59.8784,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
0,151.449,-18.3612,491.724,133.571,46.101,495.042,66.9777,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
0,152.296,-6.98022,489.969,133.571,46.101,495.042,56.5153,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
0,153.84,11.4952,488.607,133.571,46.101,495.042,40.6177,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
0,162.365,35.6053,491.584,133.571,46.101,495.042,30.8418,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
0,142.12,34.3648,479.484,133.571,46.101,495.042,21.281,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
0,128.012,37.1605,468.411,133.571,46.101,495.042,28.6363,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
0,127.108,40.4046,457.599,133.571,46.101,495.042,38.422,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
0,121.362,46.0173,468.426,133.571,46.101,495.042,29.2827,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
0,129.199,42.5685,450.47,133.571,46.101,495.042,44.925,jt_x, jt_y, jt_z, jt_q, -0.493834,0.228256,-1.00035,-1.02736,jd
0,161.355,39.4865,451.357,175.464,52.2352,449.507,19.1055,jt_x, jt_y, jt_z, jt_q, -0.79329,-3.4458e-05,0.33754,-0.0595969,jd
0,161.106,43.8107,435.49,175.464,52.2352,449.507,21.7619,jt_x, jt_y, jt_z, jt_q, -0.79329,-3.4458e-05,0.33754,-0.0595969,jd
0,157.956,47.3164,425.48,175.464,52.2352,449.507,30.1332,jt_x, jt_y, jt_z, jt_q, -0.79329,-3.4458e-05,0.33754,-0.0595969,jd
0,157.612,45.837,425.019,175.464,52.2352,449.507,30.9724,jt_x, jt_y, jt_z, jt_q, -0.79329,-3.4458e-05,0.33754,-0.0595969,jd
0,158.259,45.4077,424.449,175.464,52.2352,449.507,31.1524,jt_x, jt_y, jt_z, jt_q, -0.79329,-3.4458e-05,0.33754,-0.0595969,jd
0,158.474,45.7612,424.792,175.464,52.2352,449.507,30.6819,jt_x, jt_y, jt_z, jt_q, -0.79329,-3.4458e-05,0.33754,-0.0595969,jd
0,158.765,46.0848,424.9,175.464,52.2352,449.507,30.3665,jt_x, jt_y, jt_z, jt_q, -0.79329,-3.4458e-05,0.33754,-0.0595969,jd
0,158.269,45.1274,425.513,175.464,52.2352,449.507,30.362,jt_x, jt_y, jt_z, jt_q, -0.79329,-3.4458e-05,0.33754,-0.0595969,jd
0,158.431,45.4812,425.666,175.464,52.2352,449.507,30.0679,jt_x, jt_y, jt_z, jt_q, -0.79329,-3.4458e-05,0.33754,-0.0595969,jd
0,158.289,45.5337,425.074,175.464,52.2352,449.507,30.6077,jt_x, jt_y, jt_z, jt_q, -0.79329,-3.4458e-05,0.33754,-0.0595969,jd
0,146.84,49.1869,409.943,175.464,52.2352,449.507,48.9273,jt_x, jt_y, jt_z, jt_q, -0.79329,-3.4458e-05,0.33754,-0.0595969,jd
0,145.905,51.5802,407.04,175.464,52.2352,449.507,51.7447,jt_x, jt_y, jt_z, jt_q, -0.79329,-3.4458e-05,0.33754,-0.0595969,jd
0,131.529,62.3406,396.541,105.732,86.9263,394.248,35.7101,jt_x, jt_y, jt_z, jt_q, -0.807023,0.32417,1.86386,-1.4962,jd
0,128.698,69.8047,389.584,105.732,86.9263,394.248,29.0235,jt_x, jt_y, jt_z, jt_q, -0.807023,0.32417,1.86386,-1.4962,jd
0,131.301,63.8083,387.485,105.732,86.9263,394.248,35.1274,jt_x, jt_y, jt_z, jt_q, -0.807023,0.32417,1.86386,-1.4962,jd
0,126.601,56.6064,365.125,144.93,19.6299,364.211,41.2801,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,129.255,54.6787,367.098,144.93,19.6299,364.211,38.5025,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,128.498,53.2022,368.225,144.93,19.6299,364.211,37.5924,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,130.094,51.3102,359.895,144.93,19.6299,364.211,35.2474,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,125.409,45.0263,356.27,144.93,19.6299,364.211,33.0013,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,126.181,42.8281,357.488,144.93,19.6299,364.211,30.5756,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,124.982,38.0741,347.377,144.93,19.6299,364.211,31.9603,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,126.909,24.5661,335.785,144.93,19.6299,364.211,34.0169,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,128.224,7.88278,329.829,144.93,19.6299,364.211,39.9897,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,129,4.66567,330.244,144.93,19.6299,364.211,40.3913,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,129.347,-2.78924,334.365,144.93,19.6299,364.211,40.4503,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,139.113,-17.9717,336.902,144.93,19.6299,364.211,46.8345,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,134.315,-22.8824,327.839,144.93,19.6299,364.211,56.9462,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,127.366,-9.77182,301.646,89.374,17.5436,299.547,46.8396,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
0,119.338,-8.35049,292.986,89.374,17.5436,299.547,40.1421,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
0,112.341,-7.86245,285.077,89.374,17.5436,299.547,37.1796,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
0,108.631,-8.24032,280.222,89.374,17.5436,299.547,37.5376,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
0,110.828,-9.89983,280.195,89.374,17.5436,299.547,39.8486,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
0,115.438,-26.2468,309.563,89.374,17.5436,299.547,51.9352,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
0,121.815,-45.1607,335.71,144.93,19.6299,364.211,74.4606,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,122.589,-64.9514,355.076,144.93,19.6299,364.211,87.9577,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
