pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
2,284.818,-11.8949,335.723,162.366,65.385,363.375,147.415,jt_x, jt_y, jt_z, jt_q, 0.547526,0.0361017,0.00117853,-0.0227471,jd
2,245.374,-11.9716,362.472,162.366,65.385,363.375,113.469,jt_x, jt_y, jt_z, jt_q, 0.547526,0.0361017,0.00117853,-0.0227471,jd
2,230.645,-4.23515,366.326,162.366,65.385,363.375,97.5588,jt_x, jt_y, jt_z, jt_q, 0.547526,0.0361017,0.00117853,-0.0227471,jd
2,221.166,3.65242,391.48,139.282,31.3036,386.56,86.5671,jt_x, jt_y, jt_z, jt_q, 0.275414,0.0685399,-0.307971,-0.661857,jd
2,185.72,-24.842,404.9,139.282,31.3036,386.56,75.1346,jt_x, jt_y, jt_z, jt_q, 0.275414,0.0685399,-0.307971,-0.661857,jd
2,174.01,-30.5033,409.301,124.671,17.7333,419.96,69.8188,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
2,162.319,-44.4074,440.517,124.671,17.7333,419.96,75.5072,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
2,157.268,-49.9323,446.659,124.671,17.7333,419.96,79.7117,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
2,153.043,-57.4495,427.597,124.671,17.7333,419.96,80.72,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
2,154.037,-33.3825,413.727,124.671,17.7333,419.96,59.2791,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
2,177.374,-37.4923,405.698,124.671,17.7333,419.96,77.6587,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
2,172.459,-38.5365,401.322,124.671,17.7333,419.96,76.1398,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
2,172.338,-36.5747,404.107,124.671,17.7333,419.96,73.9785,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
2,155.05,-22.6636,386.342,139.282,31.3036,386.56,56.224,jt_x, jt_y, jt_z, jt_q, 0.275414,0.0685399,-0.307971,-0.661857,jd
2,166.202,-20.6123,419.962,124.671,17.7333,419.96,56.526,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
2,163.065,-18.5194,439.395,124.671,17.7333,419.96,56.2678,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
2,166.182,-17.0677,464.219,169.095,50.2002,445.378,69.9175,jt_x, jt_y, jt_z, jt_q, -0.332912,-3.4458e-05,0.213399,-0.254967,jd
2,158.077,-1.60242,485.171,169.095,50.2002,445.378,66.2451,jt_x, jt_y, jt_z, jt_q, -0.332912,-3.4458e-05,0.213399,-0.254967,jd
2,160.585,20.0487,503.046,133.155,59.4595,470.86,57.8058,jt_x, jt_y, jt_z, jt_q, -0.34436,0.222755,-0.354329,-0.678925,jd
2,170.857,24.0715,500.991,133.155,59.4595,470.86,59.8466,jt_x, jt_y, jt_z, jt_q, -0.34436,0.222755,-0.354329,-0.678925,jd
2,180.052,19.104,452.725,169.095,50.2002,445.378,33.7789,jt_x, jt_y, jt_z, jt_q, -0.332912,-3.4458e-05,0.213399,-0.254967,jd
2,196.067,16.3442,444.816,169.095,50.2002,445.378,43.2901,jt_x, jt_y, jt_z, jt_q, -0.332912,-3.4458e-05,0.213399,-0.254967,jd
2,195.07,17.4775,444.369,169.095,50.2002,445.378,41.791,jt_x, jt_y, jt_z, jt_q, -0.332912,-3.4458e-05,0.213399,-0.254967,jd
2,185.385,12.8447,422.557,169.095,50.2002,445.378,46.7077,jt_x, jt_y, jt_z, jt_q, -0.332912,-3.4458e-05,0.213399,-0.254967,jd
2,175.807,12.0885,409.637,139.282,31.3036,386.56,47.2844,jt_x, jt_y, jt_z, jt_q, 0.275414,0.0685399,-0.307971,-0.661857,jd
2,174.329,17.0313,400.184,139.282,31.3036,386.56,40.2194,jt_x, jt_y, jt_z, jt_q, 0.275414,0.0685399,-0.307971,-0.661857,jd
2,174.368,16.4121,396.52,139.282,31.3036,386.56,39.3957,jt_x, jt_y, jt_z, jt_q, 0.275414,0.0685399,-0.307971,-0.661857,jd
2,159.219,16.7872,366.245,139.282,31.3036,386.56,31.9515,jt_x, jt_y, jt_z, jt_q, 0.275414,0.0685399,-0.307971,-0.661857,jd
2,162.446,17.0367,360.63,139.282,31.3036,386.56,37.5825,jt_x, jt_y, jt_z, jt_q, 0.275414,0.0685399,-0.307971,-0.661857,jd
2,162.023,15.0257,359.834,139.282,31.3036,386.56,38.6833,jt_x, jt_y, jt_z, jt_q, 0.275414,0.0685399,-0.307971,-0.661857,jd
2,163.069,14.19,353.563,129.221,37.6404,362.187,42.0714,jt_x, jt_y, jt_z, jt_q, 0.243024,0.0243825,0.113699,-0.480858,jd
2,150.152,1.03505,351.946,129.221,37.6404,362.187,43.3931,jt_x, jt_y, jt_z, jt_q, 0.243024,0.0243825,0.113699,-0.480858,jd
2,147.122,-6.03596,352.052,129.221,37.6404,362.187,48.2786,jt_x, jt_y, jt_z, jt_q, 0.243024,0.0243825,0.113699,-0.480858,jd
2,144.768,-22.4086,355.798,107.775,25.3135,352.331,60.4805,jt_x, jt_y, jt_z, jt_q, 0.0596432,0.0482537,0.64333,-0.791454,jd
2,137.542,-39.5517,354.15,107.775,25.3135,352.331,71.3924,jt_x, jt_y, jt_z, jt_q, 0.0596432,0.0482537,0.64333,-0.791454,jd
2,131.192,-43.7352,351.862,107.775,25.3135,352.331,72.913,jt_x, jt_y, jt_z, jt_q, 0.0596432,0.0482537,0.64333,-0.791454,jd
2,132.095,-45.0976,349.888,107.775,25.3135,352.331,74.5332,jt_x, jt_y, jt_z, jt_q, 0.0596432,0.0482537,0.64333,-0.791454,jd
2,132.093,-44.7758,349.769,107.775,25.3135,352.331,74.2324,jt_x, jt_y, jt_z, jt_q, 0.0596432,0.0482537,0.64333,-0.791454,jd
2,140.434,-62.3691,379.212,102.983,19.4647,388.769,90.5024,jt_x, jt_y, jt_z, jt_q, 0.0954009,0.083263,0.367677,-1.05101,jd
2,138.547,-66.5522,399.259,124.671,17.7333,419.96,87.8925,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
2,139.299,-66.4733,411.266,124.671,17.7333,419.96,85.9087,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
2,139.396,-67.4419,431.636,124.671,17.7333,419.96,87.2235,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
2,136.506,-65.2136,444.637,124.671,17.7333,419.96,87.3453,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
2,138.873,-67.1525,453.212,124.671,17.7333,419.96,92.2658,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
2,154.812,-64.905,485.087,124.671,17.7333,419.96,109.449,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
2,164.302,-68.675,507.871,87.6664,31.1652,489.857,127.144,jt_x, jt_y, jt_z, jt_q, -0.281047,0.0839317,-0.83019,-1.20468,jd
2,189.493,-60.1161,512.703,169.095,50.2002,445.378,130.837,jt_x, jt_y, jt_z, jt_q, -0.332912,-3.4458e-05,0.213399,-0.254967,jd
2,181.271,-59.6083,503.778,169.095,50.2002,445.378,124.967,jt_x, jt_y, jt_z, jt_q, -0.332912,-3.4458e-05,0.213399,-0.254967,jd
2,180.174,-44.5288,508.354,169.095,50.2002,445.378,114.29,jt_x, jt_y, jt_z, jt_q, -0.332912,-3.4458e-05,0.213399,-0.254967,jd
2,171.783,-26.6847,503.786,169.095,50.2002,445.378,96.5923,jt_x, jt_y, jt_z, jt_q, -0.332912,-3.4458e-05,0.213399,-0.254967,jd
2,170.896,-20.1659,503.749,169.095,50.2002,445.378,91.4431,jt_x, jt_y, jt_z, jt_q, -0.332912,-3.4458e-05,0.213399,-0.254967,jd
2,168.689,-33.1425,488.74,169.095,50.2002,445.378,93.9493,jt_x, jt_y, jt_z, jt_q, -0.332912,-3.4458e-05,0.213399,-0.254967,jd
2,158.649,-7.41927,491.625,133.155,59.4595,470.86,74.5244,jt_x, jt_y, jt_z, jt_q, -0.34436,0.222755,-0.354329,-0.678925,jd
2,163.182,2.91667,494.482,133.155,59.4595,470.86,68.24,jt_x, jt_y, jt_z, jt_q, -0.34436,0.222755,-0.354329,-0.678925,jd
2,168.692,18.6173,501.465,133.155,59.4595,470.86,62.19,jt_x, jt_y, jt_z, jt_q, -0.34436,0.222755,-0.354329,-0.678925,jd
2,168.169,24.9746,491.268,169.095,50.2002,445.378,52.3741,jt_x, jt_y, jt_z, jt_q, -0.332912,-3.4458e-05,0.213399,-0.254967,jd
2,157.864,20.4955,477.876,169.095,50.2002,445.378,45.4379,jt_x, jt_y, jt_z, jt_q, -0.332912,-3.4458e-05,0.213399,-0.254967,jd
2,156.136,18.8549,464.918,169.095,50.2002,445.378,39.1441,jt_x, jt_y, jt_z, jt_q, -0.332912,-3.4458e-05,0.213399,-0.254967,jd
2,157.367,19.2675,451.98,169.095,50.2002,445.378,33.7336,jt_x, jt_y, jt_z, jt_q, -0.332912,-3.4458e-05,0.213399,-0.254967,jd
2,153.717,16.8017,442.411,124.671,17.7333,419.96,36.723,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
2,164.432,8.86757,424.101,124.671,17.7333,419.96,40.9468,jt_x, jt_y, jt_z, jt_q, 0.103881,0.012473,-0.334933,-0.937019,jd
