pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
2,508.727,-173.268,128.389,133.637,55.4053,301.109,472.035,jt_x, jt_y, jt_z, jt_q, 0.645638,0.0457903,-0.529607,-0.281142,jd
2,519.392,-191.403,123.799,133.637,55.4053,301.109,491.081,jt_x, jt_y, jt_z, jt_q, 0.645638,0.0457903,-0.529607,-0.281142,jd
2,508.093,-193.772,136.241,133.637,55.4053,301.109,479.049,jt_x, jt_y, jt_z, jt_q, 0.645638,0.0457903,-0.529607,-0.281142,jd
2,551.38,-152.741,82.1682,141.363,72.765,297.507,515.11,jt_x, jt_y, jt_z, jt_q, 0.599625,0.00818118,-0.172048,-0.0561015,jd
2,451.871,-35.7675,196.01,167.174,79.1365,340.011,339.103,jt_x, jt_y, jt_z, jt_q, 0.185837,0.0613946,0.021194,-0.0674316,jd
2,440.897,-18.9331,217.178,167.174,79.1365,340.011,315.642,jt_x, jt_y, jt_z, jt_q, 0.185837,0.0613946,0.021194,-0.0674316,jd
2,395.846,20.8222,225.35,167.174,79.1365,340.011,262.371,jt_x, jt_y, jt_z, jt_q, 0.185837,0.0613946,0.021194,-0.0674316,jd
2,373.618,47.4927,229.12,167.174,79.1365,340.011,236.469,jt_x, jt_y, jt_z, jt_q, 0.185837,0.0613946,0.021194,-0.0674316,jd
2,333.537,84.4588,224.454,159.805,103.258,326.177,202.197,jt_x, jt_y, jt_z, jt_q, 0.678426,0.193947,-0.886689,-0.271723,jd
2,296.643,88.1672,206.761,136.11,97.3609,288.524,180.391,jt_x, jt_y, jt_z, jt_q, 0.539855,0.152205,0.184994,3.76138e-05,jd
2,273.669,101.727,190.49,136.11,97.3609,288.524,168.974,jt_x, jt_y, jt_z, jt_q, 0.539855,0.152205,0.184994,3.76138e-05,jd
2,263.101,85.9885,151.05,136.11,97.3609,288.524,187.497,jt_x, jt_y, jt_z, jt_q, 0.539855,0.152205,0.184994,3.76138e-05,jd
2,260.585,81.412,131.998,136.11,97.3609,288.524,200.622,jt_x, jt_y, jt_z, jt_q, 0.539855,0.152205,0.184994,3.76138e-05,jd
2,254.778,69.7029,101.392,99.3444,74.3538,258.709,221.201,jt_x, jt_y, jt_z, jt_q, 1.06393,0.102915,-0.544322,-0.219479,jd
2,231.871,63.2127,90.1736,99.3444,74.3538,258.709,214.689,jt_x, jt_y, jt_z, jt_q, 1.06393,0.102915,-0.544322,-0.219479,jd
2,218.124,57.4421,68.4153,99.3444,74.3538,258.709,224.958,jt_x, jt_y, jt_z, jt_q, 1.06393,0.102915,-0.544322,-0.219479,jd
