pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
2,508.727,-173.268,128.389,136.986,55.2227,285.735,463.85,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,519.392,-191.403,123.799,136.986,55.2227,285.735,482.992,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,508.093,-193.772,136.241,136.986,55.2227,285.735,471.239,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,551.38,-152.741,82.1682,136.986,55.2227,285.735,506.37,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,451.871,-35.7675,196.01,164.885,83.152,330.001,338.314,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,440.897,-18.9331,217.178,164.885,83.152,330.001,315.172,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,395.846,20.8222,225.35,164.885,83.152,330.001,261.113,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,373.618,47.4927,229.12,164.885,83.152,330.001,234.56,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,333.537,84.4588,224.454,164.885,83.152,330.001,198.961,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,296.643,88.1672,206.761,164.885,83.152,330.001,180.481,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,273.669,101.727,190.49,136.986,55.2227,285.735,172.963,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,263.101,85.9885,151.05,136.986,55.2227,285.735,187.06,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,260.585,81.412,131.998,136.986,55.2227,285.735,198.991,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,254.778,69.7029,101.392,93.3213,90.7418,244.823,216.987,jt_x, jt_y, jt_z, jt_q, 1.3555,0.0743623,-1.21449,-0.345229,jd
2,231.871,63.2127,90.1736,93.3213,90.7418,244.823,209.452,jt_x, jt_y, jt_z, jt_q, 1.3555,0.0743623,-1.21449,-0.345229,jd
2,218.124,57.4421,68.4153,93.3213,90.7418,244.823,218.642,jt_x, jt_y, jt_z, jt_q, 1.3555,0.0743623,-1.21449,-0.345229,jd
2,201.379,59.199,46.1035,93.3213,90.7418,244.823,228.388,jt_x, jt_y, jt_z, jt_q, 1.3555,0.0743623,-1.21449,-0.345229,jd
2,196.716,33.9757,54.0357,93.3213,90.7418,244.823,224.305,jt_x, jt_y, jt_z, jt_q, 1.3555,0.0743623,-1.21449,-0.345229,jd
2,204.378,9.8324,51.3693,93.3213,90.7418,244.823,237.285,jt_x, jt_y, jt_z, jt_q, 1.3555,0.0743623,-1.21449,-0.345229,jd
2,214.161,-16.5505,53.8525,93.3213,90.7418,244.823,250.167,jt_x, jt_y, jt_z, jt_q, 1.3555,0.0743623,-1.21449,-0.345229,jd
2,215.334,-45.0781,53.0528,93.3213,90.7418,244.823,264.783,jt_x, jt_y, jt_z, jt_q, 1.3555,0.0743623,-1.21449,-0.345229,jd
2,213.49,-74.8949,56.8707,136.986,55.2227,285.735,274.157,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,216.235,-92.0514,67.4774,136.986,55.2227,285.735,274.966,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,217.218,-117.902,98.3054,136.986,55.2227,285.735,267.467,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,215.998,-136.033,109.761,136.986,55.2227,285.735,271.64,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,219.654,-143.483,140.186,136.986,55.2227,285.735,259.812,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
2,218.474,-151.086,160.812,89.374,17.5436,299.547,253.673,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
2,218.445,-157.038,193.027,89.374,17.5436,299.547,241.836,jt_x, jt_y, jt_z, jt_q, 0.705256,0.184463,-0.445136,-0.88048,jd
