pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
2,508.727,-173.268,128.389,165.531,59.4341,359.268,474.593,jt_x, jt_y, jt_z, jt_q, 0.329509,0.0526129,-0.111438,-0.176696,jd
2,519.392,-191.403,123.799,165.531,59.4341,359.268,493.54,jt_x, jt_y, jt_z, jt_q, 0.329509,0.0526129,-0.111438,-0.176696,jd
2,508.093,-193.772,136.241,165.531,59.4341,359.268,480.835,jt_x, jt_y, jt_z, jt_q, 0.329509,0.0526129,-0.111438,-0.176696,jd
2,551.38,-152.741,82.1682,143.522,70.2918,314.702,519.773,jt_x, jt_y, jt_z, jt_q, 0.342554,0.0536026,-0.0483485,3.76138e-05,jd
2,451.871,-35.7675,196.01,167.914,82.9615,346.376,342.546,jt_x, jt_y, jt_z, jt_q, 0.342554,0.0536026,-0.0483485,3.76138e-05,jd
2,440.897,-18.9331,217.178,167.914,82.9615,346.376,318.739,jt_x, jt_y, jt_z, jt_q, 0.342554,0.0536026,-0.0483485,3.76138e-05,jd
2,395.846,20.8222,225.35,167.914,82.9615,346.376,265.447,jt_x, jt_y, jt_z, jt_q, 0.342554,0.0536026,-0.0483485,3.76138e-05,jd
2,373.618,47.4927,229.12,167.914,82.9615,346.376,239.419,jt_x, jt_y, jt_z, jt_q, 0.342554,0.0536026,-0.0483485,3.76138e-05,jd
2,333.537,84.4588,224.454,167.914,82.9615,346.376,205.666,jt_x, jt_y, jt_z, jt_q, 0.342554,0.0536026,-0.0483485,3.76138e-05,jd
2,296.643,88.1672,206.761,133.477,97.645,294.154,185.339,jt_x, jt_y, jt_z, jt_q, 0.342554,0.0536026,-0.0483485,3.76138e-05,jd
2,273.669,101.727,190.49,133.477,97.645,294.154,174.403,jt_x, jt_y, jt_z, jt_q, 0.342554,0.0536026,-0.0483485,3.76138e-05,jd
2,263.101,85.9885,151.05,133.477,97.645,294.154,193.435,jt_x, jt_y, jt_z, jt_q, 0.342554,0.0536026,-0.0483485,3.76138e-05,jd
2,260.585,81.412,131.998,112.328,108.027,270.226,204.44,jt_x, jt_y, jt_z, jt_q, 0.976726,0.163794,-0.622011,-0.0836963,jd
2,254.778,69.7029,101.392,100.278,86.6179,262.8,224.073,jt_x, jt_y, jt_z, jt_q, 0.976726,0.163794,-0.622011,-0.0836963,jd
2,231.871,63.2127,90.1736,100.278,86.6179,262.8,218.322,jt_x, jt_y, jt_z, jt_q, 0.976726,0.163794,-0.622011,-0.0836963,jd
2,218.124,57.4421,68.4153,100.278,86.6179,262.8,229.182,jt_x, jt_y, jt_z, jt_q, 0.976726,0.163794,-0.622011,-0.0836963,jd
