pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
0,498.607,-221.989,173.294,161.682,53.2108,357.247,472.325,jt_x, jt_y, jt_z, jt_q, 0.309214,0.0511977,-0.0167819,-0.297083,jd
0,434.651,-125.514,180.547,161.682,53.2108,357.247,371.049,jt_x, jt_y, jt_z, jt_q, 0.309214,0.0511977,-0.0167819,-0.297083,jd
0,465.862,-87.4623,207.556,167.174,79.1365,340.011,366.761,jt_x, jt_y, jt_z, jt_q, 0.185837,0.0613946,0.021194,-0.0674316,jd
0,401.147,-11.0086,299.161,167.174,79.1365,340.011,254.044,jt_x, jt_y, jt_z, jt_q, 0.185837,0.0613946,0.021194,-0.0674316,jd
0,349.305,-10.6598,245.403,167.174,79.1365,340.011,224.021,jt_x, jt_y, jt_z, jt_q, 0.185837,0.0613946,0.021194,-0.0674316,jd
0,306.512,-4.82434,239.612,167.174,79.1365,340.011,191.166,jt_x, jt_y, jt_z, jt_q, 0.185837,0.0613946,0.021194,-0.0674316,jd
0,402.623,-47.6158,205.945,167.174,79.1365,340.011,299.125,jt_x, jt_y, jt_z, jt_q, 0.185837,0.0613946,0.021194,-0.0674316,jd
0,402.326,-70.869,200.698,167.174,79.1365,340.011,311.779,jt_x, jt_y, jt_z, jt_q, 0.185837,0.0613946,0.021194,-0.0674316,jd
0,384.598,-45.5884,202.295,167.174,79.1365,340.011,285.998,jt_x, jt_y, jt_z, jt_q, 0.185837,0.0613946,0.021194,-0.0674316,jd
0,354.453,-45.7726,169.948,141.363,72.765,297.507,275.19,jt_x, jt_y, jt_z, jt_q, 0.599625,0.00818118,-0.172048,-0.0561015,jd
0,335.617,-58.7991,120.106,141.363,72.765,297.507,294.134,jt_x, jt_y, jt_z, jt_q, 0.599625,0.00818118,-0.172048,-0.0561015,jd
0,326.226,-56.1386,126.292,133.637,55.4053,301.109,283.009,jt_x, jt_y, jt_z, jt_q, 0.645638,0.0457903,-0.529607,-0.281142,jd
