pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
0,498.607,-221.989,173.294,144.93,19.6299,364.211,468.952,jt_x, jt_y, jt_z, jt_q, 0.527789,0.0205129,-0.00158986,-0.476169,jd
0,434.651,-125.514,180.547,136.986,55.2227,285.735,363.778,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,465.862,-87.4623,207.556,136.986,55.2227,285.735,366.919,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,401.147,-11.0086,299.161,164.885,83.152,330.001,256.197,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,349.305,-10.6598,245.403,164.885,83.152,330.001,223.535,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,306.512,-4.82434,239.612,136.986,55.2227,285.735,185.666,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,402.623,-47.6158,205.945,136.986,55.2227,285.735,295.812,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,402.326,-70.869,200.698,136.986,55.2227,285.735,305.836,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,384.598,-45.5884,202.295,136.986,55.2227,285.735,280.065,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,354.453,-45.7726,169.948,136.986,55.2227,285.735,266.267,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,335.617,-58.7991,120.106,136.986,55.2227,285.735,282.644,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,326.226,-56.1386,126.292,136.986,55.2227,285.735,271.358,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,315.232,-39.2276,117.537,136.986,55.2227,285.735,262.645,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,285.107,37.6343,140.741,136.986,55.2227,285.735,208.02,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,279.901,60.0039,130.675,136.986,55.2227,285.735,210.928,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,251.187,79.3639,130.34,136.986,55.2227,285.735,194.35,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,220.697,53.8751,126.831,93.3213,90.7418,244.823,177.499,jt_x, jt_y, jt_z, jt_q, 1.3555,0.0743623,-1.21449,-0.345229,jd
0,208.136,12.838,113.449,93.3213,90.7418,244.823,191.077,jt_x, jt_y, jt_z, jt_q, 1.3555,0.0743623,-1.21449,-0.345229,jd
0,211.464,-48.9732,121.656,136.986,55.2227,285.735,208.148,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,219.786,-101.521,107.252,136.986,55.2227,285.735,251.556,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,216.419,-113.813,76.5659,136.986,55.2227,285.735,280.418,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
0,202.118,-110.897,174.424,136.986,55.2227,285.735,210.305,jt_x, jt_y, jt_z, jt_q, 0.511564,0.127247,-0.245501,3.76138e-05,jd
