pt, ht_x, ht_y, ht_z, hp_x, hp_y, hp_z, h_dist, jt_x, jt_y, jt_z, jt_q, jp_x, jp_y, jp_z, jp_q, j_dist
0,498.607,-221.989,173.294,165.531,59.4341,359.268,474.051,jt_x, jt_y, jt_z, jt_q, 0.329509,0.0526129,-0.111438,-0.176696,jd
0,434.651,-125.514,180.547,165.531,59.4341,359.268,372.253,jt_x, jt_y, jt_z, jt_q, 0.329509,0.0526129,-0.111438,-0.176696,jd
0,465.862,-87.4623,207.556,165.531,59.4341,359.268,367.142,jt_x, jt_y, jt_z, jt_q, 0.329509,0.0526129,-0.111438,-0.176696,jd
0,401.147,-11.0086,299.161,165.531,59.4341,359.268,253.16,jt_x, jt_y, jt_z, jt_q, 0.329509,0.0526129,-0.111438,-0.176696,jd
0,349.305,-10.6598,245.403,165.531,59.4341,359.268,227.268,jt_x, jt_y, jt_z, jt_q, 0.329509,0.0526129,-0.111438,-0.176696,jd
0,306.512,-4.82434,239.612,143.522,70.2918,314.702,194.542,jt_x, jt_y, jt_z, jt_q, 0.342554,0.0536026,-0.0483485,3.76138e-05,jd
0,402.623,-47.6158,205.945,165.531,59.4341,359.268,301.96,jt_x, jt_y, jt_z, jt_q, 0.329509,0.0526129,-0.111438,-0.176696,jd
0,402.326,-70.869,200.698,165.531,59.4341,359.268,313.361,jt_x, jt_y, jt_z, jt_q, 0.329509,0.0526129,-0.111438,-0.176696,jd
0,384.598,-45.5884,202.295,165.531,59.4341,359.268,289.241,jt_x, jt_y, jt_z, jt_q, 0.329509,0.0526129,-0.111438,-0.176696,jd
0,354.453,-45.7726,169.948,143.522,70.2918,314.702,280.92,jt_x, jt_y, jt_z, jt_q, 0.342554,0.0536026,-0.0483485,3.76138e-05,jd
0,335.617,-58.7991,120.106,143.522,70.2918,314.702,302.378,jt_x, jt_y, jt_z, jt_q, 0.342554,0.0536026,-0.0483485,3.76138e-05,jd
0,326.226,-56.1386,126.292,143.522,70.2918,314.702,291.314,jt_x, jt_y, jt_z, jt_q, 0.342554,0.0536026,-0.0483485,3.76138e-05,jd
0,315.232,-39.2276,117.537,114.057,67.416,285.697,283.058,jt_x, jt_y, jt_z, jt_q, 0.970146,0.161814,-0.796767,-0.534763,jd
0,285.107,37.6343,140.741,133.477,97.645,294.154,223.894,jt_x, jt_y, jt_z, jt_q, 0.342554,0.0536026,-0.0483485,3.76138e-05,jd
0,279.901,60.0039,130.675,133.477,97.645,294.154,222.67,jt_x, jt_y, jt_z, jt_q, 0.342554,0.0536026,-0.0483485,3.76138e-05,jd
0,251.187,79.3639,130.34,112.328,108.027,270.226,199.177,jt_x, jt_y, jt_z, jt_q, 0.976726,0.163794,-0.622011,-0.0836963,jd
0,220.697,53.8751,126.831,100.278,86.6179,262.8,184.554,jt_x, jt_y, jt_z, jt_q, 0.976726,0.163794,-0.622011,-0.0836963,jd
0,208.136,12.838,113.449,100.278,86.6179,262.8,198.45,jt_x, jt_y, jt_z, jt_q, 0.976726,0.163794,-0.622011,-0.0836963,jd
0,211.464,-48.9732,121.656,114.057,67.416,285.697,223.481,jt_x, jt_y, jt_z, jt_q, 0.970146,0.161814,-0.796767,-0.534763,jd
0,219.786,-101.521,107.252,74.8737,56.0002,264.12,265.368,jt_x, jt_y, jt_z, jt_q, 1.54504,0.107491,-1.43775,-0.367173,jd
0,216.419,-113.813,76.5659,74.8737,56.0002,264.12,289.911,jt_x, jt_y, jt_z, jt_q, 1.54504,0.107491,-1.43775,-0.367173,jd
0,202.118,-110.897,174.424,70.002,18.6928,296.799,221.865,jt_x, jt_y, jt_z, jt_q, 0.867853,0.02409,-0.524676,-0.785255,jd
0,255.774,-131.622,165.92,114.057,67.416,285.697,272.115,jt_x, jt_y, jt_z, jt_q, 0.970146,0.161814,-0.796767,-0.534763,jd
0,246.329,-137.209,147.276,70.002,18.6928,296.799,278.844,jt_x, jt_y, jt_z, jt_q, 0.867853,0.02409,-0.524676,-0.785255,jd
0,217.058,-143.175,115.042,70.002,18.6928,296.799,284.362,jt_x, jt_y, jt_z, jt_q, 0.867853,0.02409,-0.524676,-0.785255,jd
0,214.855,-167.924,89.4969,70.002,18.6928,296.799,314.297,jt_x, jt_y, jt_z, jt_q, 0.867853,0.02409,-0.524676,-0.785255,jd
0,216.858,-179.013,89.799,70.002,18.6928,296.799,321.719,jt_x, jt_y, jt_z, jt_q, 0.867853,0.02409,-0.524676,-0.785255,jd
0,216.167,-172.476,95.4779,70.002,18.6928,296.799,313.751,jt_x, jt_y, jt_z, jt_q, 0.867853,0.02409,-0.524676,-0.785255,jd
0,212.104,-155.362,103.735,70.002,18.6928,296.799,296.246,jt_x, jt_y, jt_z, jt_q, 0.867853,0.02409,-0.524676,-0.785255,jd
0,213.818,-152.178,133.227,70.002,18.6928,296.799,276.831,jt_x, jt_y, jt_z, jt_q, 0.867853,0.02409,-0.524676,-0.785255,jd
0,222.153,-146.681,197.275,70.002,18.6928,296.799,245.771,jt_x, jt_y, jt_z, jt_q, 0.867853,0.02409,-0.524676,-0.785255,jd
0,230.969,-153.644,236.503,131.873,38.1166,343.913,241.1,jt_x, jt_y, jt_z, jt_q, 0.213602,0.0162381,-0.521019,-0.486401,jd
